,契約,到期月份,履約價,買賣權,結算價,到期時間（年）,implied_vola
0,TXO,202401W2,15700,Call,1830.0,0.019230769,0.4426328841877884
1,TXO,202401W2,15800,Call,1730.0,0.019230769,0.4211599115183075
2,TXO,202401W2,15900,Call,1630.0,0.019230769,0.39968129127134516
3,TXO,202401W2,16000,Call,1530.0,0.019230769,0.3781845958514357
4,TXO,202401W2,16100,Call,1430.0,0.019230769,0.3566557026070443
5,TXO,202401W2,16200,Call,1330.0,0.019230769,0.3350783789312228
6,TXO,202401W2,16300,Call,1230.0,0.019230769,0.3134337284031399
7,TXO,202401W2,16400,Call,1130.0,0.019230769,0.2916994358136561
8,TXO,202401W2,16500,Call,1030.0,0.019230769,0.26984871290306084
9,TXO,202401W2,16600,Call,935.0,0.019230769,0.26446188270423704
10,TXO,202401W2,16700,Call,835.0,0.019230769,0.24129279190284086
11,TXO,202401W2,16800,Call,735.0,0.019230769,0.21784854119699826
12,TXO,202401W2,16900,Call,635.0,0.019230769,0.19405229626148338
13,TXO,202401W2,17000,Call,535.0,0.019230769,0.1697975078125017
14,TXO,202401W2,17050,Call,485.0,0.019230769,0.15745215454501177
15,TXO,202401W2,17100,Call,439.0,0.019230769,0.15313319764149283
16,TXO,202401W2,17150,Call,392.0,0.019230769,0.1455005977285339
17,TXO,202401W2,17200,Call,345.0,0.019230769,0.13681496177806038
18,TXO,202401W2,17250,Call,300.0,0.019230769,0.13007624250394295
19,TXO,202401W2,17300,Call,258.0,0.019230769,0.1257723015685556
20,TXO,202401W2,17350,Call,218.0,0.019230769,0.1216161563277315
21,TXO,202401W2,17400,Call,177.0,0.019230769,0.11374348512754495
22,TXO,202401W2,17450,Call,142.0,0.019230769,0.10976166810353939
23,TXO,202401W2,17500,Call,111.0,0.019230769,0.10650414068391409
24,TXO,202401W2,17550,Call,85.0,0.019230769,0.10453349795503773
25,TXO,202401W2,17600,Call,62.0,0.019230769,0.10151213137534651
26,TXO,202401W2,17650,Call,44.5,0.019230769,0.10010615960565279
27,TXO,202401W2,17700,Call,30.0,0.019230769,0.09768493798218118
28,TXO,202401W2,17750,Call,20.0,0.019230769,0.09672266818512645
29,TXO,202401W2,17800,Call,12.0,0.019230769,0.09406319552605572
30,TXO,202401W2,17850,Call,7.3,0.019230769,0.09331474233888228
31,TXO,202401W2,17900,Call,4.6,0.019230769,0.09408623687929939
32,TXO,202401W2,17950,Call,3.1,0.019230769,0.09635566896144598
33,TXO,202401W2,18000,Call,2.3,0.019230769,0.10016993092743127
34,TXO,202401W2,18050,Call,1.6,0.019230769,0.10281289822552385
35,TXO,202401W2,18100,Call,1.4,0.019230769,0.10875026156593985
36,TXO,202401W2,18150,Call,1.0,0.019230769,0.11144424484230098
37,TXO,202401W2,18200,Call,0.9,0.019230769,0.11732987990769833
38,TXO,202401W2,18250,Call,0.7,0.019230769,0.12091459535852482
39,TXO,202401W2,18300,Call,0.6,0.019230769,0.12572838706584122
40,TXO,202401W2,18350,Call,0.5,0.019230769,0.1299827362921709
41,TXO,202401W2,18400,Call,0.4,0.019230769,0.1335229652112245
42,TXO,202401W2,18450,Call,0.3,0.019230769,0.13607201898445737
43,TXO,202401W2,18500,Call,0.3,0.019230769,0.14242534425458064
44,TXO,202401W2,18600,Call,0.2,0.019230769,0.14923077876809662
45,TXO,202401W2,18700,Call,0.2,0.019230769,0.16126036767391286
46,TXO,202401W2,18800,Call,0.2,0.019230769,0.1731468777605684
47,TXO,202401W2,18900,Call,0.2,0.019230769,0.1848989201477098
48,TXO,202401W2,19000,Call,0.2,0.019230769,0.1965238536802099
49,TXO,202401W2,19100,Call,0.2,0.019230769,0.20802805056186308
50,TXO,202401W2,19200,Call,0.2,0.019230769,0.21941709184427036
51,TXO,202401W2,19300,Call,0.2,0.019230769,0.23069591441076998
52,TXO,202401W2,19400,Call,0.2,0.019230769,0.2418689235713853
53,TXO,202401W2,19500,Call,0.2,0.019230769,0.25294008073988594
54,TXO,202401W2,19600,Call,0.2,0.019230769,0.26391297270595393
55,TXO,202401W2,19700,Call,0.2,0.019230769,0.2747908670796852
56,TXO,202401W2,19800,Call,0.2,0.019230769,0.2855767571880041
57,TXO,202401,13600,Call,3920.0,0.038461538,0.48151062122856353
58,TXO,202401,13700,Call,3820.0,0.038461538,0.4669729276432178
59,TXO,202401,13800,Call,3720.0,0.038461538,0.4525357729974348
60,TXO,202401,13900,Call,3620.0,0.038461538,0.43819700185421395
61,TXO,202401,14000,Call,3520.0,0.038461538,0.42395440265535406
62,TXO,202401,14100,Call,3420.0,0.038461538,0.4098056885556834
63,TXO,202401,14200,Call,3320.0,0.038461538,0.3957484736762498
64,TXO,202401,14300,Call,3220.0,0.038461538,0.381780243331373
