日期,價平買權次週每日結算價,價平買權近週每日結算價,價平賣權次週每日結算價,價平賣權近週每日結算價,價平買權近週報酬,價平賣權近週報酬,價平買權近週報酬(金額),價平賣權近週報酬(金額),訊號,策略損益(金額)
2020-01-02,68.0,102.0,56.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0
2020-01-03,,52.0,,56.0,-19.0,-3.0,-950.0,-150.0,1.0,-950.0
2020-01-06,,5.4,,147.0,-46.6,91.0,-2330.0,4550.0,1.0,-2330.0
2020-01-07,,0.6,,225.0,-4.800000000000001,78.0,-240.00000000000003,3900.0,1.0,-240.00000000000003
2020-01-08,136.0,0.1,99.0,260.0,-0.5,35.0,-25.0,1750.0,1.0,-25.0
2020-01-09,,247.0,,29.0,108.0,-73.0,5400.0,-3650.0,1.0,5400.0
2020-01-10,,284.0,,20.0,37.0,-9.0,1850.0,-450.0,1.0,1850.0
2020-01-13,,370.0,,1.5,86.0,-18.5,4300.0,-925.0,1.0,4300.0
2020-01-14,,431.0,,0.9,61.0,-0.6,3050.0,-30.0,1.0,3050.0
2020-01-15,101.0,313.0,86.0,0.1,-118.0,-0.8,-5900.0,-40.0,1.0,-5900.0
2020-01-16,,99.0,,84.0,-5.0,-5.0,-250.0,-250.0,1.0,-250.0
2020-01-17,,100.0,,66.0,1.0,-18.0,50.0,-900.0,1.0,50.0
2020-01-20,,120.0,,47.5,20.0,-18.5,1000.0,-925.0,1.0,1000.0
2020-01-30,186.0,0.2,95.0,615.0,-119.8,567.5,-5990.0,28375.0,1.0,-5990.0
2020-01-31,,228.0,,42.5,39.0,-55.5,1950.0,-2775.0,1.0,1950.0
2020-02-03,,115.0,,76.0,-113.0,33.5,-5650.0,1675.0,1.0,-5650.0
2020-02-04,,258.0,,7.9,143.0,-68.1,7150.0,-3404.9999999999995,1.0,7150.0
2020-02-05,149.0,260.0,96.0,0.1,2.0,-7.800000000000001,100.0,-390.00000000000006,1.0,100.0
