is_upgraded,CAPEI_change,bm_change,evm_change,pe_op_basic_change,pe_op_dil_change,pe_exi_change,pe_inc_change,ps_change,pcf_change,dpr_change,npm_change,opmbd_change,opmad_change,gpm_change,ptpm_change,roa_change,roe_change,roce_change,efftax_change,aftret_eq_change,aftret_invcapx_change,aftret_equity_change,pretret_noa_change,pretret_earnat_change,GProf_change,equity_invcap_change,debt_invcap_change,totdebt_invcap_change,capital_ratio_change,cfm_change,int_debt_change,int_totdebt_change,cash_lt_change,invt_act_change,rect_act_change,debt_ebitda_change,short_debt_change,curr_debt_change,lt_debt_change,profit_lct_change,ocf_lct_change,cash_debt_change,fcf_ocf_change,lt_ppent_change,dltt_be_change,debt_at_change,debt_assets_change,debt_capital_change,de_ratio_change,intcov_change,intcov_ratio_change,cash_ratio_change,quick_ratio_change,curr_ratio_change,cash_conversion_change,inv_turn_change,at_turn_change,rect_turn_change,pay_turn_change,sale_invcap_change,sale_equity_change,sale_nwc_change,rd_sale_change,adv_sale_change,staff_sale_change,accrual_change,ptb_change,PEG_trailing_change
0,-0.021933597,-0.132616487,0.12259313,0.377674163,0.383244934,1.643791958,0.487904908,0.22002924,0.008063824,1.743467933,-0.534759358,0.027118644,-0.095652174,0.04287902,-0.525423729,-0.231155779,-0.646666667,-0.279620853,-0.528795812,-0.646666667,-0.726415094,-0.646666667,-0.218253968,-0.278985507,-0.187203791,0.045454545,-0.085872576,-0.090725806,-0.083102493,0.003952569,-0.104166667,-0.114285714,0.041152263,-0.183431953,0.038732394,0.06405694,-0.021978022,0.013605442,-0.152882206,-0.220867209,-0.078498294,-0.146258503,-0.03087886,0.243683782,-0.123893805,-0.149068323,0.011945392,-0.069868996,0.03246295,-0.158336869,0.280948068,0.027272727,-0.004548901,-0.04093199,0.132053528,-0.104806202,-0.219814241,-0.23699422,-0.281429254,-0.167502508,-0.203585147,-0.145647059,0.263736264,,,2.193548387,0.093798854,0
0,0.552677865,0.380165289,0.233666609,0.201722078,0.193835414,0.623268698,1.144405513,0.040143799,1.138371202,0.325541126,-0.448275862,-0.214521452,-0.1875,-0.095447871,-0.401785714,-0.202614379,-0.556603774,-0.223684211,1,-0.556603774,-0.224137931,-0.556603774,-0.185279188,-0.105527638,-0.069970845,0.16041979,-0.33030303,-0.279379157,-0.329305136,-0.543307087,-0.209302326,-0.258064516,-0.015810277,0.492753623,-0.115254237,-0.011705686,0.194756554,0.013422819,-0.076923077,-0.006956522,-0.387037037,-0.406374502,-0.224264706,-0.278724334,-0.428282828,-0.200729927,-0.195615514,-0.246478873,-0.373889269,-0.401149309,0.026988804,-0.026548673,-0.08073115,-0.002626395,-0.112138454,0.018704538,0.025793651,0.427793561,0.216031931,-0.073493976,-0.201768489,0.270724318,-0.391304348,,,-0.535353535,-0.175797999,6.572972973
1,0.556050537,0.110320285,0.155613684,0.57476887,0.589012316,0.537821773,0.537821773,0.240821298,0.49732585,,-0.183206107,-0.308605341,-0.370967742,-0.013800425,-0.43697479,-0.357615894,-0.2,-0.423357664,-0.429844098,-0.192771084,-0.2375,-0.192771084,-0.485294118,-0.471774194,0,-0.013253012,0.064705882,0.076470588,0.064705882,-0.189427313,8,7.8,0.331658291,,-0.265060241,0.555555556,inf,0.082152975,0.071770335,-0.3560477,-0.228096677,-0.029978587,-0.0806271,-0.179811749,0.092783505,0.094890511,0.006097561,0.061797753,0.008179959,-0.933444012,-0.95509463,0.230155211,0.141345169,0.141345169,,,-0.088888889,0.185394933,0.602542656,0.002,0.016611296,-0.232853982,0.020833333,0,,-0.232142857,0.260024301,-0.25147929
1,0.160325314,0.008746356,-0.399525316,-0.443836799,-0.432647334,-0.492654013,-0.492654013,-0.065556978,-0.415916081,-0.564755839,0.87804878,0.451476793,0.761904762,0.0784,0.952702703,0.680272109,1.222222222,0.968503937,0,1.22,0.902912621,1.22,0.924137931,1,0.235135135,0.01150748,-0.076335878,-0.076335878,-0.076335878,0.453125,0.227272727,0.227272727,0.093975904,-0.147058824,-0.074380165,-0.450881612,,0.149321267,-0.094470046,0.432497979,0.580500894,0,0.031034483,0.147523136,-0.081081081,-0.089285714,0.007782101,-0.062111801,0.00867052,-0.061450059,-0.120931358,-0.04939323,-0.077069293,-0.092207389,-0.210136956,0.242117117,0.091935484,0.202661364,0.239007699,0.16017316,0.146800502,0.108559499,-0.166666667,0,,0.368421053,-0.00423867,
0,0.373982943,-0.164739884,0.570284788,0.41900634,0.410362103,0.934936614,0.934936614,0.586462044,0.973671838,0.904878049,-0.173160173,0.055232558,0.013513514,0.022255193,-0.242214533,-0.307692308,-0.436363636,-0.332,-0.166666667,-0.418918919,-0.413265306,-0.418918919,-0.064516129,-0.129166667,-0.304157549,-0.069397042,0.504132231,0.760330579,0.504132231,-0.089605735,0.481481481,0.296296296,-0.356387665,0.08045977,-0.133928571,1.426605505,inf,-0.273622047,0.211195929,-0.19469526,-0.386530843,-0.076923077,-0.040133779,0.75142315,0.580882353,0.735294118,0.231660232,0.496688742,0.340974212,-0.733024611,-0.688608501,-0.112430011,-0.139299757,-0.132694938,0.242851668,-0.223330311,-0.317577548,0.019203866,-0.072769953,-0.310945274,-0.258205689,-0.0913371,0.032432432,-0.666666667,,-0.5,0.285527177,0
0,0.475722188,-0.445544554,1.072069043,0.661920452,0.674099788,0.904019157,0.734602391,0.48321292,0.541917396,0.347736626,-0.217105263,-0.267489712,-0.144230769,-0.161554192,-0.169724771,-0.25,-0.249027237,-0.198776758,0.141914191,-0.236842105,-0.248062016,-0.236842105,0.217884131,-0.105263158,-0.171052632,0.007063572,-0.777777778,4.568181818,-0.777777778,-0.138297872,0.259067358,-0.947368421,-0.232876712,,0.260869565,6.551401869,0.232587065,0.008483563,-1,-0.292929293,-0.061538462,-0.230769231,-0.013407821,0.246070152,-0.75,4.5,0.006134969,1.15,0.037744429,1.403574776,1.639227391,-0.246753247,-0.038745387,-0.038745387,0.330608031,,-0.016025641,-0.210609563,0.000305272,0.022182254,0.015448604,0.954734219,0.017857143,,,2.666666667,0.674344023,10.3601108
1,3.804862971,-0.265164645,0.02727138,0.644724977,0.644724977,-1.939941879,-1.939941879,0.504232164,0.689516129,0,-2.765432099,0.080701754,0.037433155,0.080701754,-2.967479675,0,-2.46875,0.033333333,0,-2.595238095,-1.432835821,-2.578313253,-0.107142857,-0.042253521,0.066666667,-0.013972056,0.020618557,-0.076241135,0.010204082,-1.10106383,-0.028985507,0.084745763,-0.263157895,0.03125,0.210526316,-0.153493116,-0.635714286,-0.319277108,-0.017857143,0.54875,0.274007682,0.131313131,3.326530612,0.009708738,-0.04638472,-0.093484419,0.019202363,-0.027522936,0.03962704,-1.526693585,0.048090523,0.060344828,0.340163934,0.355685131,-0.05790246,-0.016359617,-0.05362776,-0.155400479,-0.200044703,0.00990099,0.006979063,-0.704013962,,,,0.857142857,0.534246575,0
1,-0.595462733,-0.064465409,0.161592844,0.264322917,0.270833333,-3.123439826,0.110042368,0.221864952,0.062052506,0.249240122,-1.573426573,0.025974026,0,0.025974026,-1.553719008,-0.108695652,-1.5,-0.096774194,0,-1.514925373,-2.827586207,-1.519083969,-0.106666667,-0.132352941,-0.135416667,0.060728745,-0.062626263,-0.011516315,-0.062626263,-1.789473684,0,-0.046875,-0.214285714,-0.383838384,-0.501449275,0.05060241,0.921568627,0.539823009,-0.156818182,-0.453591606,-0.387939698,0,-0.150943396,0.051282051,-0.157367668,-0.1,0.014492754,-0.043396226,0.047982063,-2.895229983,-0.020242915,-0.479674797,-0.046890928,-0.179928315,-0.099723332,0.048396764,-0.13,0.341595758,0.166107851,-0.08627451,-0.136633663,0.457743711,,,,-0.555555556,-0.026785714,-0.919574216
1,0.431035697,-0.300704777,0.362265186,0.443639619,0.443639619,0.488809311,0.29300877,0.604386677,0.052654419,0.087478559,0.14893617,0.025157233,-0.014851485,0.025157233,0.138686131,-0.105263158,-0.236842105,-0.107526882,0.075471698,-0.133928571,-0.225352113,-0.126126126,-0.159090909,-0.123287671,-0.096774194,0.172093023,-0.126760563,-0.104294479,-0.126760563,0.130232558,-0.230769231,-0.25,-0.52,-0.096385542,1.623287671,-0.048670465,0.1875,-0.017751479,-0.122270742,-0.036486486,0.428915663,0.466666667,-0.820359281,-0.072265625,-0.346238938,-0.138461538,-0.041835358,-0.103896104,-0.147089578,0.315555556,0.356768886,-0.523489933,-0.141666667,-0.182197497,0.42875569,0.255901368,-0.116838488,-0.561972276,-0.009305572,-0.082135524,-0.213652482,,,,,0.68,0.170091324,0.03984375
1,0.200147601,0.064949608,-0.014494212,-0.143871913,-0.143871913,1.928770568,2.423427992,0.017721519,0.001374193,1.883280757,-0.657407407,0.018404908,0.065326633,0.018404908,-0.788461538,0.023529412,-0.637931034,0.072289157,-1.394736842,-0.639175258,-0.418181818,-0.639175258,0.108108108,0.0625,0.023809524,-0.015873016,0.014112903,0.089041096,0.014112903,-0.316872428,0.04,0.023809524,0,-0.466666667,-0.169712794,0.022460694,0.375,0.240963855,-0.047263682,-0.197755961,-0.197301855,-0.109090909,-0.044444444,0.062105263,0.013536379,0.044642857,0.022535211,0.048913043,0.081732734,-0.439189189,0.031146637,-0.197183099,0.29368932,0.079931973,-0.301842706,0.135879325,0.019455253,-0.050613339,-0.200892333,0.044742729,0.062006764,,,,,0.476190476,0.091707317,0
