證券代碼,年,月,報酬率％_月
Y9999 加權指數,2010,01,-6.6886
Y9999 加權指數,2010,02,-2.6745
Y9999 加權指數,2010,03,6.5083
Y9999 加權指數,2010,04,1.063
Y9999 加權指數,2010,05,-7.8742
Y9999 加權指數,2010,06,-0.605
Y9999 加權指數,2010,07,5.884
Y9999 加權指數,2010,08,-1.86
Y9999 加權指數,2010,09,8.1602
Y9999 加權指數,2010,10,0.5986
Y9999 加權指數,2010,11,1.0304
Y9999 加權指數,2010,12,7.1666
Y9999 加權指數,2011,01,1.9264
Y9999 加權指數,2011,02,-5.967
Y9999 加權指數,2011,03,0.9727
Y9999 加權指數,2011,04,3.7379
Y9999 加權指數,2011,05,-0.2113
Y9999 加權指數,2011,06,-3.7407
Y9999 加權指數,2011,07,-0.0972
Y9999 加權指數,2011,08,-10.4443
Y9999 加權指數,2011,09,-6.6652
Y9999 加權指數,2011,10,5.0144
Y9999 加權指數,2011,11,-9.0089
Y9999 加權指數,2011,12,2.4328
Y9999 加權指數,2012,01,6.2923
Y9999 加權指數,2012,02,8.0398
Y9999 加權指數,2012,03,-2.3203
Y9999 加權指數,2012,04,-5.4365
Y9999 加權指數,2012,05,-2.669
Y9999 加權指數,2012,06,-0.0715
Y9999 加權指數,2012,07,-0.3535
Y9999 加權指數,2012,08,1.7409
Y9999 加權指數,2012,09,4.3004
Y9999 加權指數,2012,10,-7.1173
Y9999 加權指數,2012,11,5.7789
Y9999 加權指數,2012,12,1.5742
Y9999 加權指數,2013,01,1.9549
Y9999 加權指數,2013,02,0.611
Y9999 加權指數,2013,03,0.2612
Y9999 加權指數,2013,04,2.2106
Y9999 加權指數,2013,05,1.9909
Y9999 加權指數,2013,06,-2.3331
Y9999 加權指數,2013,07,0.5672
Y9999 加權指數,2013,08,-1.0613
Y9999 加權指數,2013,09,1.8946
Y9999 加權指數,2013,10,3.3789
Y9999 加權指數,2013,11,-0.5116
Y9999 加權指數,2013,12,2.4347
Y9999 加權指數,2014,01,-1.7295
Y9999 加權指數,2014,02,2.0917
Y9999 加權指數,2014,03,2.4272
Y9999 加權指數,2014,04,-0.6536
Y9999 加權指數,2014,05,3.2358
Y9999 加權指數,2014,06,3.4945
Y9999 加權指數,2014,07,-0.8221
Y9999 加權指數,2014,08,1.2926
Y9999 加權指數,2014,09,-4.9739
Y9999 加權指數,2014,10,0.0874
Y9999 加權指數,2014,11,2.3665
Y9999 加權指數,2014,12,1.3074
Y9999 加權指數,2015,01,0.5872
Y9999 加權指數,2015,02,2.7792
Y9999 加權指數,2015,03,-0.3706
Y9999 加權指數,2015,04,2.4369
Y9999 加權指數,2015,05,-1.2116
Y9999 加權指數,2015,06,-3.897
Y9999 加權指數,2015,07,-7.0544
Y9999 加權指數,2015,08,-5.6596
Y9999 加權指數,2015,09,0.0773
Y9999 加權指數,2015,10,4.5601
Y9999 加權指數,2015,11,-2.732
Y9999 加權指數,2015,12,0.2097
Y9999 加權指數,2016,01,-2.3129
Y9999 加權指數,2016,02,3.2651
Y9999 加權指數,2016,03,3.967
Y9999 加權指數,2016,04,-4.196
Y9999 加權指數,2016,05,1.8822
Y9999 加權指數,2016,06,1.5346
Y9999 加權指數,2016,07,3.6673
Y9999 加權指數,2016,08,0.9399
Y9999 加權指數,2016,09,1.0806
Y9999 加權指數,2016,10,1.3447
Y9999 加權指數,2016,11,-0.5319
Y9999 加權指數,2016,12,0.1384
Y9999 加權指數,2017,01,2.1014
Y9999 加權指數,2017,02,3.202
Y9999 加權指數,2017,03,0.6261
Y9999 加權指數,2017,04,0.6164
Y9999 加權指數,2017,05,1.7091
Y9999 加權指數,2017,06,3.5291
Y9999 加權指數,2017,07,0.3103
Y9999 加權指數,2017,08,1.5196
Y9999 加權指數,2017,09,-1.9067
Y9999 加權指數,2017,10,3.9471
Y9999 加權指數,2017,11,-2.162
Y9999 加權指數,2017,12,0.7805
Y9999 加權指數,2018,01,4.3309
Y9999 加權指數,2018,02,-2.5966
Y9999 加權指數,2018,03,0.9618
Y9999 加權指數,2018,04,-2.3958
Y9999 加權指數,2018,05,2.0368
Y9999 加權指數,2018,06,-0.3499
Y9999 加權指數,2018,07,2.0356
Y9999 加權指數,2018,08,0.0582
Y9999 加權指數,2018,09,-0.5206
Y9999 加權指數,2018,10,-10.9411
Y9999 加權指數,2018,11,0.8763
Y9999 加權指數,2018,12,-1.6244
Y9999 加權指數,2019,01,2.1059
Y9999 加權指數,2019,02,4.6003
Y9999 加權指數,2019,03,2.4244
Y9999 加權指數,2019,04,3.0701
Y9999 加權指數,2019,05,-4.2784
Y9999 加權指數,2019,06,2.2131
Y9999 加權指數,2019,07,0.8665
Y9999 加權指數,2019,08,-1.901
Y9999 加權指數,2019,09,1.9931
Y9999 加權指數,2019,10,4.885
Y9999 加權指數,2019,11,1.1521
Y9999 加權指數,2019,12,4.4177
Y9999 加權指數,2020,01,-4.1847
Y9999 加權指數,2020,02,-1.7654
Y9999 加權指數,2020,03,-14.0284
Y9999 加權指數,2020,04,13.2269
Y9999 加權指數,2020,05,-0.4547
Y9999 加權指數,2020,06,6.2061
Y9999 加權指數,2020,07,8.9798
Y9999 加權指數,2020,08,-0.5792
Y9999 加權指數,2020,09,-0.6023
Y9999 加權指數,2020,10,0.2455
Y9999 加權指數,2020,11,9.3776
Y9999 加權指數,2020,12,7.3573
Y9999 加權指數,2021,01,2.7543
Y9999 加權指數,2021,02,5.3869
Y9999 加權指數,2021,03,2.992
Y9999 加權指數,2021,04,6.9109
Y9999 加權指數,2021,05,-2.8363
Y9999 加權指數,2021,06,4.0252
Y9999 加權指數,2021,07,-2.8614
Y9999 加權指數,2021,08,1.4082
Y9999 加權指數,2021,09,-3.1762
Y9999 加權指數,2021,10,0.3109
Y9999 加權指數,2021,11,2.592
Y9999 加權指數,2021,12,4.5394
Y9999 加權指數,2022,01,-2.9882
Y9999 加權指數,2022,02,-0.1258
Y9999 加權指數,2022,03,0.2342
Y9999 加權指數,2022,04,-6.2242
Y9999 加權指數,2022,05,1.2994
Y9999 加權指數,2022,06,-11.7924
Y9999 加權指數,2022,07,1.176
Y9999 加權指數,2022,08,0.6357
Y9999 加權指數,2022,09,-11.0687
Y9999 加權指數,2022,10,-3.537
Y9999 加權指數,2022,11,14.9024
Y9999 加權指數,2022,12,-4.986
Y9999 加權指數,2023,01,7.9752
Y9999 加權指數,2023,02,1.5631
Y9999 加權指數,2023,03,2.3494
Y9999 加權指數,2023,04,-1.8206
Y9999 加權指數,2023,05,6.4174
Y9999 加權指數,2023,06,2.0302
Y9999 加權指數,2023,07,1.3591
Y9999 加權指數,2023,08,-2.9801
Y9999 加權指數,2023,09,-1.6878
Y9999 加權指數,2023,10,-2.1554
Y9999 加權指數,2023,11,8.953
Y9999 加權指數,2023,12,1.8236
