date,0050 元大台灣50,0051 元大中型100,0052 富邦科技,0053 元大電子,0055 元大MSCI金融,0056 元大高股息,0057 富邦摩台,0061 元大寶滬深
201001,-6.1113,-7.6897,-6.8493,-7.5828,-9.969,-4.4873,-6.6295,-8.0711
201002,-2.7358,-3.1007,-2.5,-4.142,-3.4334,-2.0134,-2.7066,-0.1105
201003,5.2377,7.1703,5.2187,7.6132,4.7111,4.1098,5.7806,2.7087
201004,1.014,1.6545,0.7452,0.9562,-2.3768,2.3684,2.2541,-4.0365
201005,-8.5767,-8.5633,-8.4665,-8.409,-7.7393,-6.2983,-8.1498,-2.4119
201006,-1.0977,1.1995,-2.9126,-2.8948,3.676,0.137,-3.2364,-5.7473
201007,8.7788,7.8777,8.1332,8.6031,8.8183,9.1322,9.0567,8.6585
201008,-1.113,-0.5317,-3.6376,-3.5685,1.1696,0.0,-1.3442,-2.8059
201009,8.2552,8.8381,8.6053,8.2555,6.3584,5.8577,8.7322,2.5403
201010,0.8598,2.1284,0.7364,0.1129,-1.3199,3.9524,1.0925,9.1779
201011,1.9643,1.0104,3.2165,1.7321,-0.85,1.711,2.0017,-0.2579
201012,7.5308,5.1014,4.8442,4.5211,17.541,4.0001,6.2305,0.6722
201101,2.6058,0.7779,4.0261,2.8593,3.0682,1.1144,2.434,-6.5229
201102,-5.5555,-5.7426,-7.974,-4.9179,-10.1489,-3.6614,-6.6418,1.7583
201103,0.0842,-1.048,-0.5365,-3.298,3.1626,-2.9521,0.6748,1.1879
201104,4.1141,4.1047,2.3272,2.713,3.2844,2.6615,3.7464,-2.1343
201105,-0.0001,1.5897,2.3297,1.4339,-0.5655,2.6297,0.8512,-0.7634
201106,-5.0807,-3.5992,-7.832,-5.4687,-1.5636,0.3247,-4.5123,-2.1979
201107,1.7844,4.1234,-2.9695,-1.4955,4.5489,1.4388,1.7377,-2.8089
201108,-8.9315,-11.8179,-7.5453,-9.0291,-9.8066,-9.8227,-9.4397,-7.5143
201109,-5.3164,-8.5576,-0.3608,-3.3816,-12.2511,-5.6233,-5.4932,-8.5001
201110,4.844,5.762,4.4078,3.3635,6.8934,4.9085,4.4818,4.2352
201111,-7.8926,-11.5749,-7.5615,-6.9306,-14.2662,-6.3969,-8.1101,-3.6698
201112,3.5981,1.8472,2.3859,2.1329,3.5294,2.9288,2.6258,-2.2448
201201,4.2963,9.1945,5.9588,6.848,4.2615,7.4074,5.9345,4.4538
201202,7.7961,8.4202,7.5714,8.4093,7.6297,7.6116,7.179,8.2613
201203,-1.9645,-3.8119,-1.7231,-1.5513,-6.0759,-4.1423,-2.3473,-9.8463
201204,-5.1915,-5.9261,-3.1798,-4.8549,-3.9534,-2.8131,-4.9679,2.1159
201205,-3.6503,-1.5749,-4.6952,-3.9838,-4.9579,-2.7265,-3.9463,-2.3395
201206,0.0996,-0.2001,-0.5554,0.5129,2.1653,0.9055,0.7726,-4.1754
201207,1.7928,2.004,-2.9669,-2.0871,5.7806,2.7776,1.3937,-5.1428
201208,3.2293,1.1789,4.4965,5.4002,0.6375,2.7445,2.9554,-5.3463
201209,4.5498,4.3107,7.5731,4.9888,4.6154,1.1738,4.339,6.8418
201210,-5.298,-8.2278,-3.9999,-6.7209,-8.3911,-10.3163,-5.5022,0.0746
201211,6.25,4.6403,5.8665,7.4818,6.9464,5.7574,6.2964,2.0091
201212,0.4668,3.0001,0.5983,0.2625,2.9838,1.6511,-0.2548,7.2938
201301,1.4869,2.3302,2.0658,1.2227,4.1264,4.302,2.2352,0.8839
201302,1.0988,0.5694,1.6867,0.1725,4.8904,-0.7575,0.7807,-1.8868
201303,-0.1811,0.7924,-0.7236,1.206,2.4116,-1.6114,1.2087,-3.9148
201304,2.3592,2.7704,6.4703,2.7661,-1.3345,3.2759,2.327,-2.7877
201305,0.9751,3.8617,1.1697,2.3186,1.1137,0.7513,1.5558,4.4852
201306,-3.2484,-4.3495,-5.7248,-5.099,-2.2029,-3.0242,-0.4125,-12.8081
201307,2.7222,4.107,-0.9272,1.1088,7.8842,3.8019,-0.0593,-0.242
201308,-1.3249,0.0353,-0.3022,-0.2533,-2.6846,-2.675,-1.7172,3.6407
201309,2.3276,3.662,1.6353,1.0993,3.6783,2.2832,1.8673,1.7175
201310,3.6888,2.5477,3.0989,3.262,4.2867,-0.2095,3.43,-1.3812
201311,-0.6044,-0.8612,-1.0694,-0.9336,0.3652,-2.104,-0.2573,1.5562
201312,1.9981,2.0268,2.0158,2.575,2.6794,1.1404,2.2357,-2.8353
201401,-1.8739,-0.6736,-0.4582,-0.0002,-2.9619,0.0435,-2.4393,-2.9181
201402,1.2153,1.661,2.9343,3.4567,-0.9447,0.3901,1.8391,-2.5183
201403,3.0875,-0.3,5.0307,3.4605,-1.9075,2.1156,2.2008,-2.4166
201404,1.4975,-0.1672,2.1822,2.7683,-2.7673,0.6765,2.0983,-2.3057
201405,3.4426,1.8426,7.216,5.4995,5.6155,4.4938,2.9744,-0.3495
201406,4.5167,1.5789,3.7077,3.9006,2.7674,1.1655,3.4402,0.9648
201407,1.213,1.5221,-2.4252,-1.1947,7.9379,1.1125,1.4978,11.2943
201408,3.6703,1.18,2.7672,4.2142,2.4951,4.2043,3.6519,2.3419
201409,-5.6358,-6.0528,-5.8839,-6.1983,-4.4201,-7.3153,-5.3813,4.3478
201410,2.4585,-2.7181,2.7021,0.7065,2.2788,-0.4886,2.0146,1.6082
201411,3.3693,2.2084,6.861,4.0627,0.1948,0.1706,3.225,4.1008
201412,-0.9631,4.2243,1.2551,0.5217,-1.8804,2.9399,-0.3148,16.6548
201501,1.7203,-0.0996,1.7162,2.3183,-0.5476,2.0281,1.1176,0.5924
201502,3.3824,1.5961,3.281,2.5027,3.3035,1.9879,2.9314,3.357
201503,-1.7783,-0.4912,-4.6744,-1.8805,0.5993,-1.1534,-1.3069,13.1625
201504,3.4756,1.4471,0.6901,-0.1009,12.1192,0.7647,2.4599,11.1281
201505,-0.49,-3.5018,-0.0712,0.976,-2.5989,-1.2781,0.277,5.7998
201506,-2.391,-3.9986,-4.2348,-1.6668,-2.2438,-4.126,-4.5118,-8.1798
201507,-4.6829,-9.0654,-7.0651,-9.5931,-3.1639,-7.3839,-4.5808,-11.9869
201508,-5.8201,-7.0822,-8.7453,-7.3117,-9.0329,-5.33,-5.7351,-14.1496
201509,0.1605,3.8938,2.9711,4.1263,-2.1126,1.2513,-0.3484,0.0001
201510,4.4203,4.8643,5.5164,4.9727,4.7481,7.641,5.3524,8.7037
201511,-3.1646,-2.3939,-1.2332,-2.3649,-3.8379,-2.0774,-4.1359,-1.1358
201512,-0.7353,-0.2015,3.1491,1.9607,-3.9823,3.0177,-0.5859,4.9396
201601,-1.9754,-2.3416,-1.6842,-1.7308,-6.5287,-1.3728,-1.3394,-16.0372
201602,2.8546,1.695,5.0857,3.1314,0.4108,4.3619,3.3669,-2.2164
201603,5.551,1.4226,4.7886,5.1235,4.3372,-0.2669,4.9119,11.0
201604,-4.7177,-3.447,-5.9554,-6.137,-2.6667,-3.7003,-5.7083,-3.6036
201605,2.5162,0.1247,4.3144,3.2308,1.9338,1.6205,1.9383,0.2494
201606,3.6423,2.2803,5.1418,4.7693,-0.0789,2.961,3.2038,-0.4972
201607,6.0258,6.2422,7.0078,6.3302,6.1711,7.8318,7.7486,-1.6864
201608,1.2402,1.1064,0.6831,1.3379,3.8001,1.1487,1.0308,4.0659
201609,2.2335,2.3398,3.8373,2.6733,0.2874,1.8254,1.4477,-3.1134
201610,2.3258,-1.7698,1.4647,0.8036,-0.4297,0.0022,0.9513,1.0712
201611,-1.2397,-0.8647,-4.1082,-2.766,5.8067,-2.2689,-0.4477,4.177
201612,0.1396,-0.2723,-1.3432,-0.5425,1.5427,-0.817,-1.3487,-5.2063
201701,2.0893,3.2384,0.2349,3.8513,-0.0688,2.0372,3.0942,0.1264
201702,2.1599,4.2705,2.5997,3.2492,2.4188,3.9934,1.7916,0.0631
201703,0.7519,1.3776,4.9988,1.3032,1.2145,1.0213,1.3028,-2.7094
201704,1.1533,-0.8222,-0.7825,1.7257,-1.3333,-1.1323,0.2934,-2.8496
201705,2.616,1.4419,4.7045,3.3314,1.0133,1.5543,2.8573,3.1331
201706,5.0982,4.0155,5.1155,4.1191,3.7457,3.0203,5.1181,6.9814
