日期,賣權成交量,買權成交量,買賣權成交量比率%,賣權未平倉量,買權未平倉量,買賣權未平倉量比率%
2020/01/02,552593,511342,108.07,237327,186703,127.11
2020/01/03,545847,505839,107.91,320519,262908,121.91
2020/01/06,413544,433142,95.48,346585,349763,99.09
2020/01/07,690967,739052,93.49,361652,405093,89.28
2020/01/08,904816,783899,115.43,258912,244537,105.88
2020/01/09,328871,328786,100.03,322439,286276,112.63
2020/01/10,309883,293393,105.62,385311,317790,121.25
2020/01/13,491154,383284,128.14,453623,323795,140.1
2020/01/14,411870,367042,112.21,506310,334734,151.26
2020/01/15,575697,543742,105.88,188760,119829,157.52
2020/01/16,212554,176779,120.24,248833,163652,152.05
2020/01/17,219122,197578,110.9,287146,192666,149.04
2020/01/20,216646,167584,129.28,321685,212915,151.09
2020/01/30,815341,862408,94.54,228523,215353,106.12
2020/01/31,380528,448299,84.88,314175,286491,109.66
2020/02/03,638723,598005,106.81,360434,370142,97.38
2020/02/04,565363,536058,105.47,420618,356092,118.12
2020/02/05,827144,818048,101.11,310689,241968,128.4
2020/02/06,418677,382226,109.54,398362,277864,143.37
2020/02/07,362062,325295,111.3,435314,328901,132.35
2020/02/10,539445,486241,110.94,476745,367483,129.73
2020/02/11,448976,364259,123.26,505735,379732,133.18
2020/02/12,656366,569082,115.34,396846,256246,154.87
2020/02/13,328202,294257,111.54,475097,293571,161.83
2020/02/14,373738,303634,123.09,498267,319230,156.08
2020/02/17,369312,343192,107.61,511537,353810,144.58
2020/02/18,524546,506021,103.66,509146,408308,124.7
2020/02/19,736411,709911,103.73,255122,138577,184.1
2020/02/20,327977,319024,102.81,332944,204119,163.11
2020/02/21,399906,360692,110.87,384755,240611,159.91
2020/02/24,480336,426986,112.49,413261,299703,137.89
2020/02/25,748678,611861,122.36,459130,327185,140.33
2020/02/26,957387,804123,119.06,333288,193558,172.19
2020/02/27,502340,453435,110.79,407701,284916,143.1
2020/03/02,617210,584567,105.58,454378,353424,128.56
2020/03/03,626842,639462,98.03,506292,373077,135.71
2020/03/04,755226,721664,104.65,405620,233793,173.5
2020/03/05,319367,285088,112.02,485570,277404,175.04
2020/03/06,426069,402544,105.84,524435,351809,149.07
2020/03/09,657375,632264,103.97,525276,431872,121.63
2020/03/10,840932,802124,104.84,573677,461414,124.33
2020/03/11,869115,873068,99.55,443992,297680,149.15
2020/03/12,590228,617151,95.64,466255,387252,120.4
2020/03/13,780049,747912,104.3,485582,441737,109.93
2020/03/16,537485,682482,78.75,512715,489926,104.65
2020/03/17,802966,674037,119.13,552684,514884,107.34
2020/03/18,1003636,950060,105.64,251085,121463,206.72
2020/03/19,162327,304439,53.32,269549,195200,138.09
2020/03/20,281377,352876,79.74,337104,220224,153.07
2020/03/23,345284,366241,94.28,362327,259010,139.89
2020/03/24,532004,457803,116.21,435672,264235,164.88
2020/03/25,816728,691995,118.03,331078,167155,198.07
2020/03/26,288923,295923,97.63,385734,210798,182.99
2020/03/27,308735,281973,109.49,412580,237347,173.83
2020/03/30,406146,320922,126.56,450099,271306,165.9
2020/03/31,405816,362460,111.96,476939,289041,165.01
2020/04/01,495910,430542,115.18,376398,208497,180.53
2020/04/06,382392,312512,122.36,439277,256029,171.57
2020/04/07,437830,346389,126.4,485157,280107,173.2
2020/04/08,702604,680084,103.31,400367,216520,184.91
2020/04/09,284154,257290,110.44,434077,245082,177.12
2020/04/10,216989,180812,120.01,457455,263461,173.63
2020/04/13,223910,207353,107.98,471971,282674,166.97
2020/04/14,493414,391711,125.96,531040,277680,191.24
2020/04/15,560902,576079,97.37,256418,123474,207.67
2020/04/16,223655,206317,108.4,308057,168670,182.64
2020/04/17,397789,401785,99.01,352410,195723,180.06
2020/04/20,229022,248730,92.08,369257,230417,160.26
2020/04/21,520759,519629,100.22,378952,277298,136.66
2020/04/22,644770,602264,107.06,297000,164914,180.09
2020/04/23,261342,271249,96.35,340746,202625,168.17
2020/04/24,208463,185817,112.19,365516,219507,166.52
2020/04/27,407523,265383,153.56,423059,225117,187.93
2020/04/28,336685,280336,120.1,439072,245518,178.83
2020/04/29,566902,491526,115.34,337143,180904,186.37
2020/04/30,283787,265025,107.08,392502,211115,185.92
2020/05/04,383031,361164,106.05,414492,269540,153.78
2020/05/05,386776,342395,112.96,448108,284546,157.48
2020/05/06,562116,499774,112.47,359071,210886,170.27
2020/05/07,232072,214020,108.43,397618,244738,162.47
2020/05/08,223211,209125,106.74,423096,261463,161.82
2020/05/11,302051,246949,122.31,455745,286788,158.91
2020/05/12,400859,401151,99.93,464832,316938,146.66
2020/05/13,524955,438971,119.59,386511,232169,166.48
2020/05/14,293168,284660,102.99,414416,281990,146.96
2020/05/15,351565,365988,96.06,440267,306455,143.66
2020/05/18,349777,329458,106.17,459906,334346,137.55
2020/05/19,452572,489132,92.53,485910,329696,147.38
2020/05/20,488115,524102,93.13,266679,123206,216.45
2020/05/21,244307,238671,102.36,325521,172751,188.43
2020/05/22,311301,333536,93.33,347194,225400,154.03
2020/05/25,393144,356598,110.25,388124,250072,155.2
2020/05/26,393976,385004,102.33,430250,242266,177.59
2020/05/27,473214,442943,106.83,322419,168733,191.08
2020/05/28,299001,297750,100.42,366123,219757,166.6
2020/05/29,270930,258370,104.86,391756,243740,160.73
2020/06/01,329732,287768,114.58,439673,250730,175.36
2020/06/02,338023,287506,117.57,465118,272311,170.8
2020/06/03,557518,545225,102.25,359978,186838,192.67
2020/06/04,275679,289248,95.31,405718,231758,175.06
2020/06/05,264350,224659,117.67,434480,250658,173.34
2020/06/08,435104,430604,101.05,486523,279715,173.94
2020/06/09,346782,318808,108.77,504573,297264,169.74
2020/06/10,519966,497802,104.45,403023,210046,191.87
2020/06/11,344805,341373,101.01,434781,264812,164.18
2020/06/12,422273,364062,115.99,467813,300715,155.57
2020/06/15,431557,444317,97.13,484505,329765,146.92
2020/06/16,538546,469816,114.63,537314,322477,166.62
2020/06/17,617781,630704,97.95,111768,106249,105.19
2020/06/18,244369,225432,108.4,168134,149831,112.22
2020/06/19,205075,208134,98.53,195086,167684,116.34
2020/06/22,331768,276733,119.89,242282,195230,124.1
2020/06/23,422256,362646,116.44,262502,220497,119.05
2020/06/24,470925,421711,111.67,163447,134588,121.44
2020/06/29,341353,331145,103.08,223324,213236,104.73
2020/06/30,342560,289225,118.44,262541,217621,120.64
2020/07/01,512748,452593,113.29,182966,150841,121.3
