,日期,Close,價平買權次週每日結算價,價平買權近週每日結算價,價平賣權次週每日結算價,價平賣權近週每日結算價,Implied volatility of Call,Implied volatility of Put,Signal of Long Call,Signal of Long Put,Signal of Long Call_E,Signal of Long Put_E,策略累積資金(金額),進場口數,策略近週報酬(點數),Call進場口數,Put進場口數,Call策略近週報酬(點數),Put策略近週報酬(點數),策略每日報酬率,策略累積報酬率,每個時點最大策略累積資金(金額),Drawdown
0,2020-01-02,8721,68.0,102.0,56.0,0.1,0.14076025570704664,0.1159202105822737,0,0,0,0,1000000.0,4.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1000000.0,0.0
1,2020-01-03,8583,,52.0,,56.0,,,0,0,0,0,999400.0,4.0,0.0,2.0,4.0,-0.0,-3.0,-0.0006000000000000449,-0.0006000000000000449,1000000.0,-0.0006
2,2020-01-06,8505,,5.4,,147.0,,,0,0,0,0,981200.0,4.0,0.0,2.0,4.0,-0.0,-91.0,-0.018210926555933593,-0.01880000000000004,1000000.0,-0.0188
3,2020-01-07,8422,,0.6,,225.0,,,0,0,0,0,965600.0,4.0,0.0,2.0,4.0,-0.0,-78.0,-0.01589889930697108,-0.0344000000000001,1000000.0,-0.0344
4,2020-01-08,8603,136.0,0.1,99.0,260.0,0.28538188771850603,0.20774122708920661,0,1,0,1,958600.0,4.0,0.0,2.0,4.0,-0.0,-35.0,-0.007249378624689329,-0.0414000000000001,1000000.0,-0.0414
5,2020-01-09,8645,,247.0,,29.0,,,0,0,0,1,1051000.0,4.0,-73.0,2.0,4.0,0.0,462.0,0.09639056958063841,0.050999999999999934,1051000.0,0.0
6,2020-01-10,8750,,284.0,,20.0,,,0,0,0,1,1054600.0,4.0,-9.0,2.0,4.0,0.0,18.0,0.0034253092293055065,0.05459999999999998,1054600.0,0.0
7,2020-01-13,8815,,370.0,,1.5,,,0,0,0,1,1062000.0,4.0,-18.5,2.0,4.0,0.0,37.0,0.007016878437322127,0.06199999999999983,1062000.0,0.0
8,2020-01-14,8714,,431.0,,0.9,,,0,0,0,1,1062240.0,4.0,-0.6,2.0,4.0,0.0,1.2,0.00022598870056489417,0.06223999999999985,1062240.0,0.0
9,2020-01-15,8712,101.0,313.0,86.0,0.1,0.20928636159748645,0.17820422868696864,0,1,0,1,1062560.0,4.0,-0.8,2.0,4.0,-0.0,1.6,0.0003012501882813101,0.06255999999999973,1062560.0,0.0
10,2020-01-16,8731,,99.0,,84.0,,,0,0,0,1,1029000.0,4.0,-5.0,2.0,4.0,-0.0,-167.8,-0.031584098780304215,0.028999999999999693,1062560.0,-0.03158409878030417
11,2020-01-17,8771,,100.0,,66.0,,,0,0,0,1,1036200.0,4.0,-18.0,2.0,4.0,0.0,36.0,0.0069970845481048816,0.036199999999999566,1062560.0,-0.024808010841740703
12,2020-01-30,8129,186.0,0.2,95.0,615.0,0.41306009592369836,0.2109715543696309,1,1,1,1,816600.0,4.0,549.0,3.0,4.0,-0.0,-1098.0,-0.2119281991893457,-0.18340000000000034,1062560.0,-0.23147869296792653
13,2020-01-31,7984,,228.0,,42.5,,,0,0,1,1,1051450.0,4.0,-55.5,3.0,4.0,39.0,1145.0,0.2875949057065883,0.05144999999999955,1062560.0,-0.010455880138533354
14,2020-02-03,8194,,115.0,,76.0,,,0,0,1,1,1021100.0,4.0,33.5,3.0,4.0,-113.0,-67.0,-0.02886490085120552,0.021099999999999453,1062560.0,-0.03901897304622798
15,2020-02-04,8202,,258.0,,7.9,,,0,0,1,1,1069790.0,4.0,-68.1,3.0,4.0,143.0,136.2,0.04768387033591215,0.06978999999999935,1069790.0,0.0
16,2020-02-05,8399,149.0,260.0,96.0,0.1,0.32025513946539835,0.2063388818032097,1,1,1,1,1073210.0,4.0,-7.8,4.0,4.0,2.0,15.6,0.00319688910907745,0.07320999999999933,1073210.0,0.0
17,2020-02-06,8249,,278.0,,28.5,,,0,0,1,1,1087050.0,4.0,-70.5,4.0,4.0,126.0,-56.8,0.012895891763960554,0.0870499999999994,1087050.0,0.0
18,2020-02-07,8225,,161.0,,56.0,,,0,0,1,1,1052650.0,4.0,27.5,4.0,4.0,-117.0,-55.0,-0.03164527850604848,0.05264999999999942,1087050.0,-0.03164527850604848
19,2020-02-10,8324,,126.0,,44.0,,,0,0,1,1,1050450.0,4.0,-12.0,4.0,4.0,-35.0,24.0,-0.0020899634256400512,0.05044999999999944,1087050.0,-0.033669104457016694
20,2020-02-11,8430,,187.0,,8.4,,,0,0,1,1,1076890.0,4.0,-35.6,4.0,4.0,61.0,71.2,0.0251701651673093,0.07688999999999946,1087050.0,-0.009346396209925946
21,2020-02-12,8435,110.0,293.0,90.0,0.2,0.2354209018834808,0.19261710154102973,0,1,0,1,1101370.0,4.0,-8.2,4.0,4.0,106.0,16.4,0.022732126772465167,0.10136999999999952,1101370.0,0.0
22,2020-02-13,8470,,105.0,,79.0,,,0,0,0,1,1069850.0,4.0,-14.0,4.0,4.0,-0.0,-157.6,-0.028618901913071926,0.06984999999999952,1101370.0,-0.0286189019130719
23,2020-02-14,8429,,108.0,,47.0,,,0,0,0,1,1082650.0,4.0,-32.0,4.0,4.0,0.0,64.0,0.011964294059914948,0.08264999999999945,1101370.0,-0.016997012811316815
24,2020-02-17,8300,,61.0,,40.5,,,0,0,0,1,1085250.0,4.0,-6.5,4.0,4.0,-0.0,13.0,0.002401514801644078,0.08524999999999938,1101370.0,-0.014636316587522813
25,2020-02-18,8434,,8.2,,117.0,,,0,0,0,1,1054650.0,4.0,76.5,4.0,4.0,-0.0,-153.0,-0.028196268140981307,0.05464999999999942,1101370.0,-0.042419895221406066
26,2020-02-19,8384,105.0,10.0,80.0,0.1,0.22608692669549343,0.1722567060537093,0,1,0,1,1101410.0,4.0,-116.9,4.0,4.0,0.0,233.8,0.044336983833499266,0.10140999999999933,1101410.0,0.0
27,2020-02-20,8334,,69.0,,92.0,,,0,0,0,1,1064650.0,4.0,9.0,4.0,4.0,0.0,-183.8,-0.03337540062283795,0.06464999999999943,1101410.0,-0.033375400622837996
28,2020-02-21,8182,,41.5,,116.0,,,0,0,0,1,1055050.0,4.0,24.0,4.0,4.0,-0.0,-48.0,-0.009017047856102911,0.05504999999999938,1101410.0,-0.04209150089430821
