,日期,價平買權次週每日結算價,價平買權近週每日結算價,價平賣權次週每日結算價,價平賣權近週每日結算價,做空價平賣權近週報酬(點數),做空價平賣權近週報酬(金額),策略累積資金(金額),策略每日報酬率,策略累積報酬率,每個時點最大策略累積資金(金額),Drawdown
0,2020-01-02,68.0,102.0,56.0,0.1,0.0,0.0,1000000.0,0.0,0.0,1000000.0,0.0
1,2020-01-03,,52.0,,56.0,-3.0,-300.0,999700.0,-0.00029999999999996696,-0.00029999999999996696,1000000.0,-0.0003
2,2020-01-06,,5.4,,147.0,-91.0,-9100.0,990600.0,-0.00910273081924573,-0.009399999999999964,1000000.0,-0.0094
3,2020-01-07,,0.6,,225.0,-78.0,-7800.0,982800.0,-0.007874015748031482,-0.017199999999999993,1000000.0,-0.0172
4,2020-01-08,136.0,0.1,99.0,260.0,-35.0,-3500.0,979300.0,-0.0035612535612535856,-0.02070000000000005,1000000.0,-0.0207
5,2020-01-09,,247.0,,29.0,67.0,6700.0,986000.0,0.0068416215664250934,-0.014000000000000012,1000000.0,-0.014
6,2020-01-10,,284.0,,20.0,9.0,900.0,986900.0,0.0009127789046652346,-0.013100000000000112,1000000.0,-0.0131
7,2020-01-13,,370.0,,1.5,18.5,1850.0,988750.0,0.001874556692674112,-0.011249999999999982,1000000.0,-0.01125
8,2020-01-14,,431.0,,0.9,0.6,60.0,988810.0,6.0682680151691315e-05,-0.011190000000000033,1000000.0,-0.01119
9,2020-01-15,101.0,313.0,86.0,0.1,0.8,80.0,988890.0,8.090533065008287e-05,-0.011109999999999953,1000000.0,-0.01111
10,2020-01-16,,99.0,,84.0,-1.0,-100.0,988790.0,-0.00010112348188373588,-0.011209999999999942,1000000.0,-0.01121
11,2020-01-17,,100.0,,66.0,18.0,1800.0,990590.0,0.0018204067597771267,-0.009409999999999918,1000000.0,-0.00941
12,2020-01-20,,120.0,,47.5,18.5,1850.0,992440.0,0.0018675738701177114,-0.007560000000000011,1000000.0,-0.00756
13,2020-01-30,186.0,0.2,95.0,615.0,-567.5,-56750.0,935690.0,-0.057182298174196955,-0.06431000000000009,1000000.0,-0.06431
14,2020-01-31,,228.0,,42.5,49.5,4950.0,940640.0,0.005290213639132624,-0.05936000000000008,1000000.0,-0.05936
15,2020-02-03,,115.0,,76.0,-33.5,-3350.0,937290.0,-0.0035614050008504483,-0.06271000000000004,1000000.0,-0.06271
16,2020-02-04,,258.0,,7.9,68.1,6809.999999999999,944100.0,0.007265627500560035,-0.05590000000000017,1000000.0,-0.0559
17,2020-02-05,149.0,260.0,96.0,0.1,7.8,780.0,944880.0,0.0008261836669845035,-0.05512000000000006,1000000.0,-0.05512
18,2020-02-06,,278.0,,28.5,64.5,6450.0,951330.0,0.0068262636525273646,-0.04866999999999999,1000000.0,-0.04867
19,2020-02-07,,161.0,,56.0,-27.5,-2750.0,948580.0,-0.002890689876278496,-0.05142000000000002,1000000.0,-0.05142
20,2020-02-10,,126.0,,44.0,12.0,1200.0,949780.0,0.0012650488097998291,-0.05022000000000015,1000000.0,-0.05022
21,2020-02-11,,187.0,,8.4,35.6,3560.0,953340.0,0.0037482364337004803,-0.046660000000000146,1000000.0,-0.04666
22,2020-02-12,110.0,293.0,90.0,0.2,8.2,819.9999999999999,954160.0,0.0008601338452178808,-0.0458400000000001,1000000.0,-0.04584
23,2020-02-13,,105.0,,79.0,8.0,800.0,954960.0,0.0008384338056510732,-0.04504000000000008,1000000.0,-0.04504
24,2020-02-14,,108.0,,47.0,32.0,3200.0,958160.0,0.003350925693222706,-0.0418400000000001,1000000.0,-0.04184
25,2020-02-17,,61.0,,40.5,6.5,650.0,958810.0,0.0006783835685062467,-0.04119000000000017,1000000.0,-0.04119
26,2020-02-18,,8.2,,117.0,-76.5,-7650.0,951160.0,-0.00797864018940142,-0.048840000000000106,1000000.0,-0.04884
27,2020-02-19,105.0,10.0,80.0,0.1,116.9,11690.0,962850.0,0.0122902561083309,-0.03715000000000013,1000000.0,-0.03715
28,2020-02-20,,69.0,,92.0,-15.0,-1500.0,961350.0,-0.0015578750584203105,-0.03865000000000007,1000000.0,-0.03865
29,2020-02-21,,41.5,,116.0,-24.0,-2400.0,958950.0,-0.002496489311905159,-0.04105000000000014,1000000.0,-0.04105
30,2020-02-24,,5.1,,232.0,-116.0,-11600.0,947350.0,-0.012096563950153794,-0.052650000000000086,1000000.0,-0.05265
31,2020-02-25,,1.7,,202.0,30.0,3000.0,950350.0,0.0031667282419380882,-0.04965000000000008,1000000.0,-0.04965
32,2020-02-26,144.0,0.1,111.0,317.0,-115.0,-11500.0,938850.0,-0.012100804966591272,-0.06115000000000015,1000000.0,-0.06115
33,2020-02-27,,76.0,,187.0,-79.0,-7900.0,930950.0,-0.008414549715076935,-0.06905000000000017,1000000.0,-0.06905
34,2020-03-02,,17.5,,222.0,-35.0,-3500.0,927450.0,-0.0037596004081852374,-0.07255000000000023,1000000.0,-0.07255
35,2020-03-03,,24.5,,89.0,133.0,13300.0,940750.0,0.014340395708663634,-0.059250000000000136,1000000.0,-0.05925
36,2020-03-04,138.0,0.1,110.0,21.0,68.0,6800.0,947550.0,0.007228275312250787,-0.05245000000000022,1000000.0,-0.05245
37,2020-03-05,,202.0,,44.5,62.5,6250.0,953800.0,0.006595957996939461,-0.04620000000000024,1000000.0,-0.0462
38,2020-03-06,,84.0,,146.0,-101.5,-10150.0,943650.0,-0.010641643950513702,-0.05635000000000023,1000000.0,-0.05635
39,2020-03-09,,7.5,,385.0,-239.0,-23900.0,919750.0,-0.025327186986700556,-0.08025000000000015,1000000.0,-0.08025
40,2020-03-10,,1.3,,340.0,45.0,4500.0,924250.0,0.0048926338678989545,-0.0757500000000001,1000000.0,-0.07575
41,2020-03-11,200.0,0.2,178.0,443.0,-103.0,-10300.0,913950.0,-0.011144170949418442,-0.08605000000000007,1000000.0,-0.08605
42,2020-03-12,,32.5,,468.0,-293.0,-29300.0,884650.0,-0.03205864653427426,-0.11535000000000006,1000000.0,-0.11535
43,2020-03-13,,19.5,,785.0,-317.0,-31700.0,852950.0,-0.0358333804329396,-0.14705000000000013,1000000.0,-0.14705
44,2020-03-16,,1.5,,1120.0,-335.0,-33500.0,819450.0,-0.039275455771147216,-0.1805500000000001,1000000.0,-0.18055
45,2020-03-17,,0.1,,1430.0,-310.0,-31000.0,788450.0,-0.037830251998291486,-0.21155000000000002,1000000.0,-0.21155
46,2020-03-18,417.0,0.3,285.0,1490.0,-60.0,-6000.0,782450.0,-0.007609867461475073,-0.21755000000000002,1000000.0,-0.21755
47,2020-03-19,,146.0,,565.0,-283.0,-28300.0,754150.0,-0.03616844526806828,-0.24585,1000000.0,-0.24585
48,2020-03-20,,370.0,,160.0,405.0,40500.0,794650.0,0.05370284426175154,-0.20535000000000014,1000000.0,-0.20535
49,2020-03-23,,141.0,,260.0,-100.0,-10000.0,784650.0,-0.012584156546907477,-0.21535000000000015,1000000.0,-0.21535
50,2020-03-24,,427.0,,9.5,250.5,25050.0,809700.0,0.03192506212961188,-0.19030000000000025,1000000.0,-0.1903
51,2020-03-25,308.0,715.0,194.0,0.2,9.3,930.0000000000001,810630.0,0.0011485735457577029,-0.18937000000000026,1000000.0,-0.18937
52,2020-03-26,,324.0,,154.0,37.0,3700.0,814330.0,0.004564351183647286,-0.18567000000000022,1000000.0,-0.18567
53,2020-03-27,,251.0,,154.0,0.0,0.0,814330.0,0.0,-0.18567000000000022,1000000.0,-0.18567
54,2020-03-30,,203.0,,91.0,63.0,6300.0,820630.0,0.007736421352522838,-0.17937000000000025,1000000.0,-0.17937
55,2020-03-31,,160.0,,34.5,56.5,5650.0,826280.0,0.006884954242472263,-0.1737200000000002,1000000.0,-0.17372
56,2020-04-01,265.0,134.0,185.0,0.1,34.4,3440.0,829720.0,0.004163237643413753,-0.17028000000000032,1000000.0,-0.17028
57,2020-04-06,,326.0,,16.0,166.0,16600.0,846320.0,0.020006749264812163,-0.15368000000000037,1000000.0,-0.15368
58,2020-04-07,,465.0,,1.4,14.6,1460.0,847780.0,0.0017251157954438767,-0.15222000000000036,1000000.0,-0.15222
59,2020-04-08,180.0,565.0,152.0,0.1,1.3,130.0,847910.0,0.00015334166882907674,-0.1520900000000004,1000000.0,-0.15209
60,2020-04-09,,142.0,,142.0,7.0,700.0,848610.0,0.0008255593164367969,-0.15139000000000047,1000000.0,-0.15139
61,2020-04-10,,133.0,,99.0,43.0,4300.0,852910.0,0.0050671097441699064,-0.1470900000000005,1000000.0,-0.14709
62,2020-04-13,,82.0,,106.0,-7.0,-700.0,852210.0,-0.0008207196538907446,-0.14779000000000042,1000000.0,-0.14779
63,2020-04-14,,250.0,,4.4,101.6,10160.0,862370.0,0.011921944121753958,-0.13763000000000047,1000000.0,-0.13763
64,2020-04-15,198.0,351.0,110.0,0.1,4.3,430.0,862800.0,0.000498625879842729,-0.13720000000000054,1000000.0,-0.1372
65,2020-04-16,,169.0,,101.0,6.0,600.0,863400.0,0.0006954102920724292,-0.1366000000000005,1000000.0,-0.1366
66,2020-04-17,,330.0,,26.5,74.5,7450.0,870850.0,0.008628677322214395,-0.12915000000000054,1000000.0,-0.12915
67,2020-04-20,,256.0,,22.0,4.5,450.0,871300.0,0.000516736521789074,-0.12870000000000048,1000000.0,-0.1287
68,2020-04-21,,63.0,,84.0,-62.0,-6200.0,865100.0,-0.007115803971077694,-0.13490000000000046,1000000.0,-0.1349
69,2020-04-22,218.0,0.2,118.0,15.0,69.0,6900.0,872000.0,0.007975956536816486,-0.12800000000000056,1000000.0,-0.128
70,2020-04-23,,238.0,,64.0,51.0,5100.0,877100.0,0.005848623853210944,-0.12290000000000056,1000000.0,-0.1229
71,2020-04-24,,210.0,,59.0,5.0,500.0,877600.0,0.0005700604264051723,-0.12240000000000062,1000000.0,-0.1224
72,2020-04-27,,401.0,,5.2,53.8,5380.0,882980.0,0.006130355515040931,-0.11702000000000068,1000000.0,-0.11702
73,2020-04-28,,426.0,,0.8,4.4,440.00000000000006,883420.0,0.0004983125325601634,-0.11658000000000068,1000000.0,-0.11658
74,2020-04-29,150.0,555.0,103.0,0.1,0.7,70.0,883490.0,7.923750877281144e-05,-0.11651000000000056,1000000.0,-0.11651
75,2020-04-30,,310.0,,27.0,73.0,7300.0,890790.0,0.008262685485970422,-0.10921000000000058,1000000.0,-0.10921
