,datadate,ticker,after-tax interest coverage,interest coverage ratio,cash flow/ total debt,operating margin before dep.,operating margin after dep.,return on equity,return on capital employed,LTD/ total assets,total debt/ total assets,book/ market,interest/ average LTD,interest/ average total debt,cash balance/ total liabilities,total debt/ EBITDA,short-term debt/ total debt,LTD/ total liabilities,free cash flow/ operating cash flow,total liabilities/ total tangible assets,LTD/ book equity,total debt/ capital,total debt/ equity,asset turnover,receivables turnover,payables turnover,sales/invested capital,sales/stockholders equity,accruals/average assets,price/ book,shillers cyclically adjusted P/E ratio,enterprise value multiple,"price/ operating earnings (Basic, Excl. EI)","price/ operating earnings (Diluted, Excl. EI)","P/E (Diluted, Excl. EI)","P/E (Diluted, Incl. EI)",price/ sales,price/ cash flow,dividend payout ratio,net profit magin,gross profit margin,pre-tax profit margin,return on assets,after-tax return on average common equity,after-tax return on invested capital,after-tax return on average stockholders' equity,gross profit/ total assets,common equity/invested capital,LTD/ invested capital,total debt/ invested capital,capitalization ratio,cash flow margin,splticrm,rating,prev_rating,rating_diff,after-tax interest coverage_change,interest coverage ratio_change,cash flow/ total debt_change,operating margin before dep._change,return on equity_change,total debt/ total assets_change,book/ market_change,interest/ average LTD_change,interest/ average total debt_change,cash balance/ total liabilities_change,free cash flow/ operating cash flow_change,total liabilities/ total tangible assets_change,total debt/ capital_change,total debt/ equity_change,asset turnover_change,receivables turnover_change,payables turnover_change,sales/invested capital_change,sales/stockholders equity_change,price/ book_change,shillers cyclically adjusted P/E ratio_change,enterprise value multiple_change,"price/ operating earnings (Basic, Excl. EI)_change","price/ operating earnings (Diluted, Excl. EI)_change","P/E (Diluted, Excl. EI)_change","P/E (Diluted, Incl. EI)_change",price/ sales_change,price/ cash flow_change,gross profit margin_change,after-tax return on average common equity_change,after-tax return on average stockholders' equity_change,gross profit/ total assets_change,common equity/invested capital_change,cash flow margin_change,rating_change,prev_rating_change,rating_diff_change
139,2016-08-31,PCG,1.958,2.436,0.081,0.278,0.116,0.03,0.059,0.271,0.736,0.826,0.05,0.046,0.008,3.698,0.066,0.343,-0.473,0.997,0.625,0.545,2.791,0.264,5.241,4.157,0.51,0.999,-0.046,1.187,32.533,9.814,25.701,26.135,40.484,40.484,1.852,8.495,1.175,0.046,0.278,0.033,0.074,0.046,0.038,0.046,0.073,0.503,0.489,0.524,0.489,0.207,BBB+,16,14.0,2.0,-0.205,-0.33,-0.129,-0.123,-0.5,-0.013,-0.221,-0.194,-0.132,-0.619,-14.912,-0.084,-0.049,-0.052,-0.165,0.066,0.087,-0.199,-0.197,0.289,1.159,0.474,1.114,1.143,1.485,1.485,0.635,1.091,-0.123,-0.483,-0.477,-0.27,0.004,-0.05,0.143,-0.125,-2.0
53,2014-12-31,CMS,2.19,2.84,0.102,0.254,0.161,0.094,0.1,0.466,0.797,0.669,0.053,0.049,0.034,4.568,0.076,0.54,-0.225,1.131,1.448,0.711,3.915,0.401,8.657,8.647,0.632,1.97,-0.044,1.759,24.854,8.942,19.093,19.413,19.744,19.744,1.341,7.586,0.586,0.067,0.254,0.104,0.104,0.137,0.07,0.135,0.102,0.318,0.679,0.735,0.679,0.161,BBB+,16,14.0,2.0,0.121,0.044,0.146,-0.038,0.044,-0.017,0.014,-0.117,-0.075,2.778,-21.455,-0.06,-0.003,-0.088,0.066,0.28,0.035,0.011,0.011,0.007,0.111,0.065,0.093,0.084,-0.018,0.003,0.139,0.267,-0.038,0.132,0.134,0.052,0.006,0.045,0.143,0.167,0.0
175,2014-11-30,UNH,9.61,15.491,0.144,0.089,0.078,0.161,0.202,0.201,0.599,0.416,0.044,0.038,0.179,1.488,0.136,0.29,0.784,12.133,0.426,0.537,1.551,1.519,15.387,4.63,2.642,3.936,-0.014,2.743,18.744,8.56,17.488,17.739,17.739,17.739,0.739,14.15,0.232,0.043,0.25,0.073,0.137,0.171,0.126,0.171,0.379,0.671,0.302,0.35,0.31,0.054,A+,25,22.0,3.0,-0.061,0.015,-0.182,-0.053,-0.139,0.0,-0.151,-0.185,-0.174,-0.466,-0.131,-0.285,0.07,0.04,0.024,-0.341,-0.037,-0.02,0.065,0.408,0.406,0.25,0.584,0.578,0.578,0.578,0.366,1.552,0.008,-0.086,-0.086,0.027,-0.08,-0.115,0.136,0.158,0.0
121,2015-11-30,MCD,8.234,12.003,0.314,0.347,0.286,0.322,0.265,0.485,0.679,0.11,0.038,0.038,0.111,1.829,0.0,0.714,0.702,0.962,1.311,0.613,2.115,0.764,22.198,17.858,0.947,2.378,-0.066,10.545,20.145,12.033,22.97,23.063,24.71,24.71,4.088,15.731,0.732,0.172,0.442,0.251,0.259,0.365,0.173,0.365,0.337,0.398,0.602,0.602,0.602,0.234,BBB+,16,19.0,-3.0,-0.022,-0.082,0.0,-0.006,0.201,0.104,-0.214,-0.05,-0.026,-0.098,0.113,0.102,0.137,0.326,0.003,0.003,0.009,0.0,0.203,0.504,0.152,0.031,0.243,0.243,0.149,0.149,0.187,0.116,0.005,0.229,0.229,0.006,-0.169,0.045,-0.158,-0.136,0.0
148,2013-06-30,ROST,69.972,111.489,0.515,0.152,0.132,0.454,0.714,0.041,0.524,0.136,0.076,0.076,0.362,0.1,0.0,0.078,0.552,1.362,0.081,0.366,1.102,2.691,146.119,8.177,5.21,5.656,-0.061,7.215,26.373,9.43,8.664,8.83,8.83,8.83,1.431,13.691,0.162,0.082,0.299,0.132,0.419,0.482,0.3,0.482,0.805,0.921,0.079,0.079,0.079,0.101,A-,19,16.0,3.0,0.138,0.128,0.366,0.086,0.058,-0.066,-0.227,0.169,0.169,-0.192,-0.007,-0.213,-0.101,-0.138,0.011,-0.023,0.046,-0.043,-0.067,0.159,-0.01,0.392,1.18,1.178,1.178,1.178,0.217,-0.237,0.014,0.05,0.05,0.025,0.026,0.086,0.188,0.143,0.5
108,2014-08-31,LEN,2.849,2.814,-0.122,0.119,0.114,0.127,0.084,0.465,0.599,0.526,0.056,0.051,0.131,6.707,0.088,0.709,0.912,37.784,1.175,0.577,1.658,0.584,12.18,22.441,0.707,1.616,0.126,1.542,39.07,16.401,16.19,18.308,17.649,17.649,1.015,-7.377,0.064,0.075,0.237,0.119,0.072,0.127,0.085,0.127,0.138,0.437,0.514,0.564,0.54,0.081,BB,9,8.0,1.0,-0.298,0.939,0.821,0.293,-0.428,-0.024,0.119,-0.018,0.109,-0.373,-0.044,0.863,-0.048,-0.11,0.387,1.52,0.161,0.384,0.344,-0.209,-1.772,-0.495,-0.622,-0.612,0.321,0.321,-0.376,-0.531,0.03,-0.428,-0.428,0.516,0.028,-0.515,0.125,0.143,0.0
76,2015-08-31,ETFC,2.7,2.896,0.017,0.443,0.394,0.086,0.066,0.137,0.882,0.657,0.094,0.043,0.061,7.191,0.547,0.07,0.887,169.578,0.525,0.879,7.493,0.043,0.141,0.033,0.239,0.364,-0.007,1.336,80.209,15.859,24.343,24.802,16.853,16.853,3.841,9.661,0.0,0.231,0.443,0.189,0.019,0.086,0.086,0.086,0.019,0.656,0.344,0.761,0.344,0.28,BBB-,12,8.0,4.0,0.388,0.071,0.0,-0.047,0.509,0.0,-0.142,0.044,-0.023,-0.032,0.013,0.035,-0.001,0.003,-0.023,0.029,0.0,0.0,-0.032,-0.132,-0.235,0.11,-0.037,-0.027,-0.41,-0.41,-0.063,-0.182,-0.047,0.509,0.509,-0.095,0.033,0.436,0.5,0.143,3.0
152,2012-02-29,SBUX,38.682,46.126,0.542,0.172,0.129,0.3,0.333,0.075,0.392,0.138,0.062,0.069,0.714,0.268,0.0,0.191,0.604,1.214,0.123,0.175,0.645,1.662,31.76,24.961,2.434,2.736,-0.017,7.665,52.729,14.512,14.988,15.367,14.539,14.539,3.002,26.037,0.327,0.105,0.234,0.154,0.295,0.3,0.273,0.3,0.389,0.889,0.11,0.111,0.11,0.151,A-,19,16.0,3.0,0.489,0.263,-0.016,0.036,0.172,-0.105,-0.292,0.033,0.15,0.594,-0.225,0.13,-0.107,-0.175,-0.03,-0.139,-0.136,-0.071,-0.106,0.587,0.616,0.399,0.526,0.511,0.354,0.354,0.816,1.676,0.068,0.172,0.172,0.037,0.037,0.135,0.188,0.143,0.5
155,2013-12-31,SEE,0.318,1.859,0.05,0.129,0.091,-0.135,0.113,0.493,0.848,0.324,0.085,0.081,0.086,4.655,0.041,0.557,0.825,6.756,2.487,0.784,5.588,0.819,5.682,9.098,1.313,5.398,-0.091,3.865,-40.171,9.257,29.103,31.528,-24.854,-92.027,0.875,10.941,1.025,-0.033,0.358,-0.058,0.104,-0.172,0.019,-0.172,0.294,0.243,0.757,0.789,0.757,0.005,BB,9,8.0,1.0,-0.678,0.057,0.087,0.04,66.5,0.191,-0.704,0.012,-0.024,-0.055,1.661,0.165,0.265,1.265,0.145,-0.037,-0.009,0.287,1.178,3.574,-4.259,0.107,0.999,1.033,-2.006,-1.322,1.232,-0.166,0.038,85.0,85.0,0.195,-0.41,-0.875,0.125,-0.111,-2.0
145,2015-06-30,PPL,2.845,3.491,0.097,0.499,0.383,0.089,0.085,0.451,0.715,0.837,0.044,0.04,0.049,5.554,0.098,0.569,-0.316,1.003,1.069,0.625,2.507,0.163,7.071,3.321,0.235,0.571,-0.032,1.046,15.484,11.395,11.467,11.512,12.279,9.568,2.491,6.26,0.617,0.202,0.499,0.296,0.082,0.118,0.065,0.118,0.081,0.412,0.588,0.652,0.588,0.426,A-,19,14.0,5.0,-0.016,-0.174,0.169,0.579,-0.127,-0.036,-0.032,-0.154,-0.167,0.065,-2.477,-0.141,-0.019,-0.155,-0.474,0.078,-0.553,-0.431,-0.45,-0.06,0.084,0.175,0.255,0.256,0.068,-0.179,0.732,0.038,0.579,-0.151,-0.151,-0.012,0.035,1.068,0.357,-0.125,-3.5
