,rating_diff,after-tax interest coverage_change,interest coverage ratio_change,cash flow/ total debt_change,operating margin before dep._change,return on equity_change,total debt/ total assets_change,book/ market_change,interest/ average LTD_change,interest/ average total debt_change,cash balance/ total liabilities_change,free cash flow/ operating cash flow_change,total liabilities/ total tangible assets_change,total debt/ capital_change,total debt/ equity_change,asset turnover_change,receivables turnover_change,payables turnover_change,sales/invested capital_change,sales/stockholders equity_change,price/ book_change,shillers cyclically adjusted P/E ratio_change,enterprise value multiple_change,"price/ operating earnings (Basic, Excl. EI)_change","price/ operating earnings (Diluted, Excl. EI)_change","P/E (Diluted, Excl. EI)_change","P/E (Diluted, Incl. EI)_change",price/ sales_change,price/ cash flow_change,gross profit margin_change,after-tax return on average common equity_change,after-tax return on average stockholders' equity_change,gross profit/ total assets_change,common equity/invested capital_change,cash flow margin_change
0,2.0,-0.205,-0.33,-0.129,-0.123,-0.5,-0.013,-0.221,-0.194,-0.132,-0.619,-14.912,-0.084,-0.049,-0.052,-0.165,0.066,0.087,-0.199,-0.197,0.289,1.159,0.474,1.114,1.143,1.485,1.485,0.635,1.091,-0.123,-0.483,-0.477,-0.27,0.004,-0.05
1,2.0,0.121,0.044,0.146,-0.038,0.044,-0.017,0.014,-0.117,-0.075,2.778,-21.455,-0.06,-0.003,-0.088,0.066,0.28,0.035,0.011,0.011,0.007,0.111,0.065,0.093,0.084,-0.018,0.003,0.139,0.267,-0.038,0.132,0.134,0.052,0.006,0.045
2,3.0,-0.061,0.015,-0.182,-0.053,-0.139,0.0,-0.151,-0.185,-0.174,-0.466,-0.131,-0.285,0.07,0.04,0.024,-0.341,-0.037,-0.02,0.065,0.408,0.406,0.25,0.584,0.578,0.578,0.578,0.366,1.552,0.008,-0.086,-0.086,0.027,-0.08,-0.115
3,-3.0,-0.022,-0.082,0.0,-0.006,0.201,0.104,-0.214,-0.05,-0.026,-0.098,0.113,0.102,0.137,0.326,0.003,0.003,0.009,0.0,0.203,0.504,0.152,0.031,0.243,0.243,0.149,0.149,0.187,0.116,0.005,0.229,0.229,0.006,-0.169,0.045
4,3.0,0.138,0.128,0.366,0.086,0.058,-0.066,-0.227,0.169,0.169,-0.192,-0.007,-0.213,-0.101,-0.138,0.011,-0.023,0.046,-0.043,-0.067,0.159,-0.01,0.392,1.18,1.178,1.178,1.178,0.217,-0.237,0.014,0.05,0.05,0.025,0.026,0.086
5,1.0,-0.298,0.939,0.821,0.293,-0.428,-0.024,0.119,-0.018,0.109,-0.373,-0.044,0.863,-0.048,-0.11,0.387,1.52,0.161,0.384,0.344,-0.209,-1.772,-0.495,-0.622,-0.612,0.321,0.321,-0.376,-0.531,0.03,-0.428,-0.428,0.516,0.028,-0.515
6,4.0,0.388,0.071,0.0,-0.047,0.509,0.0,-0.142,0.044,-0.023,-0.032,0.013,0.035,-0.001,0.003,-0.023,0.029,0.0,0.0,-0.032,-0.132,-0.235,0.11,-0.037,-0.027,-0.41,-0.41,-0.063,-0.182,-0.047,0.509,0.509,-0.095,0.033,0.436
7,3.0,0.489,0.263,-0.016,0.036,0.172,-0.105,-0.292,0.033,0.15,0.594,-0.225,0.13,-0.107,-0.175,-0.03,-0.139,-0.136,-0.071,-0.106,0.587,0.616,0.399,0.526,0.511,0.354,0.354,0.816,1.676,0.068,0.172,0.172,0.037,0.037,0.135
8,1.0,-0.678,0.057,0.087,0.04,66.5,0.191,-0.704,0.012,-0.024,-0.055,1.661,0.165,0.265,1.265,0.145,-0.037,-0.009,0.287,1.178,3.574,-4.259,0.107,0.999,1.033,-2.006,-1.322,1.232,-0.166,0.038,85.0,85.0,0.195,-0.41,-0.875
9,5.0,-0.016,-0.174,0.169,0.579,-0.127,-0.036,-0.032,-0.154,-0.167,0.065,-2.477,-0.141,-0.019,-0.155,-0.474,0.078,-0.553,-0.431,-0.45,-0.06,0.084,0.175,0.255,0.256,0.068,-0.179,0.732,0.038,0.579,-0.151,-0.151,-0.012,0.035,1.068
