,datadate,ticker,after-tax interest coverage,interest coverage ratio,cash flow/ total debt,operating margin before dep.,operating margin after dep.,return on equity,return on capital employed,LTD/ total assets,total debt/ total assets,book/ market,interest/ average LTD,interest/ average total debt,cash balance/ total liabilities,total debt/ EBITDA,short-term debt/ total debt,LTD/ total liabilities,free cash flow/ operating cash flow,total liabilities/ total tangible assets,LTD/ book equity,total debt/ capital,total debt/ equity,asset turnover,receivables turnover,payables turnover,sales/invested capital,sales/stockholders equity,accruals/average assets,price/ book,shillers cyclically adjusted P/E ratio,enterprise value multiple,"price/ operating earnings (Basic, Excl. EI)","price/ operating earnings (Diluted, Excl. EI)","P/E (Diluted, Excl. EI)","P/E (Diluted, Incl. EI)",price/ sales,price/ cash flow,dividend payout ratio,net profit magin,gross profit margin,pre-tax profit margin,return on assets,after-tax return on average common equity,after-tax return on invested capital,after-tax return on average stockholders' equity,gross profit/ total assets,common equity/invested capital,LTD/ invested capital,total debt/ invested capital,capitalization ratio,cash flow margin,splticrm,rating,prev_rating,rating_diff,after-tax interest coverage_change,interest coverage ratio_change,cash flow/ total debt_change,operating margin before dep._change,return on equity_change,total debt/ total assets_change,book/ market_change,interest/ average LTD_change,interest/ average total debt_change,cash balance/ total liabilities_change,free cash flow/ operating cash flow_change,total liabilities/ total tangible assets_change,total debt/ capital_change,total debt/ equity_change,asset turnover_change,receivables turnover_change,payables turnover_change,sales/invested capital_change,sales/stockholders equity_change,price/ book_change,shillers cyclically adjusted P/E ratio_change,enterprise value multiple_change,"price/ operating earnings (Basic, Excl. EI)_change","price/ operating earnings (Diluted, Excl. EI)_change","P/E (Diluted, Excl. EI)_change","P/E (Diluted, Incl. EI)_change",price/ sales_change,price/ cash flow_change,gross profit margin_change,after-tax return on average common equity_change,after-tax return on average stockholders' equity_change,gross profit/ total assets_change,common equity/invested capital_change,cash flow margin_change,rating_change,prev_rating_change,rating_diff_change
0,2017-01-31,ABT,5.94,17.428,0.149,0.238,0.169,0.047,0.118,0.219,0.477,0.334,0.034,0.023,0.249,1.773,0.319,0.312,0.633,3.302,0.283,0.321,0.916,0.517,6.031,7.312,0.769,0.993,-0.046,3.46,35.311,14.313,24.145,24.285,63.288,45.901,3.472,25.128,1.531,0.048,0.616,0.067,0.122,0.047,0.045,0.047,0.319,0.774,0.221,0.325,0.222,0.116,BBB,14,25.0,-11.0,-0.401,0.027,-0.406,-0.215,-0.557,-0.196,0.38,-0.209,-0.258,-0.016,-0.224,-0.279,-0.246,-0.374,0.026,0.428,0.216,-0.073,-0.202,-0.176,0.553,0.234,0.202,0.194,0.623,1.144,0.04,1.138,-0.095,-0.557,-0.557,-0.07,0.16,-0.543,-0.44,-0.219,0.571
1,2016-07-31,ADI,15.393,22.631,0.456,0.363,0.3,0.124,0.167,0.177,0.319,0.289,0.04,0.035,1.461,1.058,0.144,0.476,0.861,3.692,0.215,0.226,0.468,0.462,8.014,6.715,0.554,0.678,-0.039,3.926,28.032,15.494,21.935,22.24,31.137,31.137,5.789,20.99,0.781,0.191,0.689,0.219,0.171,0.129,0.115,0.129,0.318,0.818,0.182,0.213,0.182,0.254,BBB,14,19.0,-5.0,-0.733,-0.689,-0.077,0.055,-0.436,0.232,-0.165,0.481,0.296,-0.356,-0.04,0.751,0.497,0.341,-0.318,0.019,-0.073,-0.311,-0.258,0.286,0.374,0.57,0.419,0.41,0.935,0.935,0.586,0.974,0.022,-0.419,-0.419,-0.304,-0.069,-0.09,-0.263,0.188,-2.667
2,2013-12-31,AEE,2.225,2.904,0.112,0.316,0.194,0.047,0.084,0.288,0.7,1.19,0.067,0.061,0.011,3.488,0.098,0.371,0.18,0.984,0.589,0.507,2.337,0.261,10.879,8.347,0.466,0.872,-0.052,0.872,18.866,8.051,18.449,18.544,18.544,-9.694,1.52,5.34,0.822,0.082,0.316,0.134,0.082,0.069,0.053,0.068,0.083,0.524,0.464,0.515,0.464,0.015,BBB+,16,14.0,2.0,-2.895,-0.02,0.0,0.026,-1.5,0.014,-0.064,0.0,-0.047,-0.214,-0.151,0.051,-0.043,0.048,-0.13,0.342,0.166,-0.086,-0.137,-0.027,-0.595,0.162,0.264,0.271,-3.123,0.11,0.222,0.062,0.026,-1.515,-1.519,-0.135,0.061,-1.789,0.143,0.167,0.0
3,2017-02-28,AEP,1.66,3.741,0.098,0.332,0.212,0.021,0.089,0.351,0.726,0.951,0.052,0.043,0.012,4.097,0.209,0.383,-0.086,1.009,0.599,0.579,2.647,0.262,9.21,6.806,0.467,0.942,-0.062,1.119,24.393,9.791,15.186,15.186,53.576,54.008,2.01,7.287,1.828,0.037,0.332,0.033,0.087,0.035,0.032,0.035,0.086,0.496,0.503,0.636,0.503,0.166,A-,19,16.0,3.0,-0.439,0.031,-0.109,0.018,-0.638,0.023,0.065,0.04,0.024,0.0,-0.044,0.062,0.049,0.082,0.019,-0.051,-0.201,0.045,0.062,0.092,0.2,-0.014,-0.144,-0.144,1.929,2.423,0.018,0.001,0.018,-0.639,-0.639,0.024,-0.016,-0.317,0.188,0.143,0.5
4,2011-05-31,AES,1.377,2.439,0.117,0.296,0.222,0.072,0.134,0.482,0.736,0.755,0.085,0.074,0.161,4.148,0.124,0.573,0.311,1.219,2.219,0.773,4.484,0.393,6.47,3.502,0.573,2.394,-0.068,1.316,16.971,6.064,15.805,15.805,18.783,259.2,0.631,3.043,0.0,0.034,0.321,0.136,0.115,0.084,0.103,0.084,0.126,0.239,0.615,0.703,0.72,0.137,BB-,8,9.0,-1.0,0.086,0.085,0.625,0.021,0.22,-0.017,-0.164,0.024,0.0,-0.006,0.908,-0.026,-0.025,-0.105,0.034,-0.024,0.133,0.042,-0.057,0.096,0.035,-0.045,-0.019,-0.019,-0.197,9.661,0.005,-0.151,0.026,0.167,0.167,0.059,0.101,-0.189,-0.111,0.125,-2.0
5,2016-04-30,AES,1.192,1.618,0.07,0.251,0.173,0.063,0.105,0.565,0.818,0.664,0.086,0.076,0.068,5.577,0.122,0.606,-0.092,1.321,4.312,0.877,9.572,0.392,5.342,5.457,0.595,4.721,-0.048,1.737,39.927,7.431,12.13,12.13,25.364,25.364,0.495,3.484,0.915,0.021,0.264,0.083,0.098,0.082,0.086,0.082,0.107,0.126,0.732,0.833,0.853,0.128,BB,9,8.0,1.0,-0.134,-0.337,-0.402,-0.152,-0.125,0.111,-0.121,0.012,0.027,-0.578,-1.296,0.084,0.135,1.135,-0.003,-0.174,0.558,0.038,0.972,0.32,1.353,0.225,-0.233,-0.233,0.35,-0.902,-0.216,0.145,-0.178,-0.024,-0.024,-0.151,-0.473,-0.066,0.125,-0.111,-2.0
6,2015-09-30,AFL,9.45,14.629,0.065,0.21,0.21,0.138,0.194,0.044,0.852,0.635,0.059,0.059,0.043,1.088,0.081,0.051,1.0,238.511,0.277,0.407,5.736,0.18,9.543,2.483,0.936,1.211,-0.032,1.471,9.516,6.655,4.665,4.695,4.877,4.877,1.15,3.839,0.249,0.122,0.21,0.185,0.037,0.146,0.122,0.146,0.038,0.773,0.227,0.227,0.227,0.132,A-,19,22.0,-3.0,-0.135,-0.091,-0.343,0.01,-0.296,-0.03,0.159,-0.048,-0.048,0.0,0.0,0.12,-0.077,-0.203,-0.072,-0.168,-0.111,-0.219,-0.24,-0.184,-0.229,-0.034,-0.032,-0.032,0.011,0.011,-0.05,0.131,0.01,-0.288,-0.288,-0.05,0.028,-0.015,-0.136,0.158,-2.0
7,2014-02-28,AGN,17.522,25.161,0.413,0.347,0.307,0.206,0.241,0.204,0.388,0.196,0.043,0.041,0.889,0.985,0.026,0.511,0.899,4.446,0.325,0.274,0.635,0.638,7.648,2.556,0.735,0.975,-0.043,5.865,48.298,16.101,27.371,27.79,30.238,38.957,6.016,22.358,0.047,0.201,0.896,0.275,0.221,0.206,0.183,0.206,0.534,0.754,0.245,0.251,0.245,0.243,BBB-,12,14.0,-2.0,0.586,0.617,0.0,0.141,0.241,0.072,-0.213,-0.14,-0.163,0.347,-0.02,0.324,0.015,0.114,0.006,-0.059,-0.035,-0.024,-0.022,0.545,-0.019,0.184,0.157,0.161,0.203,0.55,0.49,0.393,0.033,0.234,0.234,-0.027,-0.003,0.095,-0.143,0.167,-2.0
8,2011-12-31,AKS,-0.471,0.676,-0.037,0.034,0.004,-0.088,0.02,0.182,0.858,0.872,0.063,0.05,0.025,3.805,0.199,0.17,-1.054,1.831,1.02,0.703,6.001,1.424,10.745,8.62,4.95,9.957,0.057,1.449,23.154,10.83,-118.0,-118.0,-15.296,-15.296,0.143,-2.926,2.081,-0.009,0.067,-0.016,0.049,-0.088,-0.018,-0.088,0.096,0.497,0.507,0.633,0.505,0.022,BB-,8,9.0,-1.0,-0.292,-1.432,-3.176,0.03,0.086,0.081,1.313,-0.125,-0.306,-0.816,-0.17,0.066,0.295,0.557,0.565,0.23,-0.058,0.804,1.151,-0.307,-0.174,-0.505,3.65,3.65,-0.379,-0.379,-0.684,-1.093,-0.162,0.086,0.086,0.247,-0.162,-0.353,-0.111,0.125,-2.0
9,2012-06-30,AKS,-2.196,-3.755,-0.044,-0.003,-0.032,-0.307,-0.143,0.211,0.891,0.436,0.076,0.057,0.012,-47.638,0.25,0.178,-0.936,1.913,1.428,0.765,8.027,1.398,10.448,8.912,5.218,12.597,-0.009,1.782,34.651,-99.433,-3.837,-3.837,-3.669,-3.669,0.101,-4.876,1.906,-0.028,0.031,-0.044,-0.004,-0.307,-0.099,-0.307,0.043,0.414,0.592,0.789,0.588,0.004,B+,7,8.0,-1.0,3.662,-6.555,0.189,-1.088,2.489,0.038,-0.5,0.206,0.14,-0.52,-0.112,0.045,0.088,0.338,-0.018,-0.028,0.034,0.054,0.265,0.23,0.497,-10.181,-0.967,-0.967,-0.76,-0.76,-0.294,0.666,-0.537,2.489,2.489,-0.552,-0.167,-0.818,-0.125,-0.111,0.0
