,gvkey,permno,adate,qdate,datadate,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,cfm,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_at,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,ticker,cusip,splticrm
1,1078,20482,2008/12/31,2009/9/30,2010-01-31,23.252,0.279,10.335,14.584,14.706,14.747,14.386,2.736,11.657,0.421,0.187,0.295,0.23,0.653,0.236,0.199,0.3,0.211,0.191,0.3,0.212,0.3,0.504,0.276,0.422,0.638,0.361,0.496,0.361,0.253,0.048,0.035,0.243,0.169,0.284,1.686,0.273,0.441,0.399,0.738,0.586,0.294,0.842,3.681,0.565,0.322,0.586,0.458,1.417,11.785,13.248,0.55,1.319,1.588,134.135,3.225,0.646,5.536,8.368,0.997,1.562,4.25,0.091,0.0,0.0,-0.031,3.838,0.37,3.02%,ABT,282410,AA
2,1078,20482,2011/12/31,2012/6/30,2012-10-31,22.742,0.242,11.602,20.092,20.342,38.988,21.405,3.338,11.751,1.155,0.087,0.303,0.208,0.681,0.112,0.153,0.106,0.152,0.09,0.106,0.058,0.106,0.394,0.199,0.343,0.667,0.33,0.451,0.331,0.254,0.043,0.031,0.253,0.138,0.295,1.794,0.267,0.447,0.338,0.575,0.54,0.251,0.816,4.578,0.495,0.274,0.593,0.426,1.463,9.919,16.97,0.565,1.313,1.523,151.848,2.887,0.504,4.224,6.013,0.83,1.244,3.631,0.115,0.0,0.0,-0.099,4.198,,3.11%,ABT,282410,A+
3,1078,20482,2015/12/31,2016/9/30,2017-01-31,35.311,0.334,14.313,24.145,24.285,63.288,45.901,3.472,25.128,1.531,0.048,0.238,0.169,0.616,0.067,0.122,0.047,0.118,0.18,0.047,0.045,0.047,0.321,0.178,0.319,0.774,0.221,0.325,0.222,0.116,0.034,0.023,0.249,0.206,0.261,1.773,0.319,0.453,0.312,0.571,0.331,0.149,0.633,3.302,0.283,0.219,0.477,0.321,0.916,5.94,17.428,0.55,1.207,1.519,134.82,2.941,0.517,6.031,7.312,0.769,0.993,4.614,0.07,0.0,0.0,-0.046,3.46,2.802,2.54%,ABT,282410,BBB
4,12540,75510,2009/11/30,2009/11/30,2010-01-31,27.386,0.281,19.497,40.886,41.41,44.247,44.247,5.747,15.145,0.0,0.131,0.337,0.248,0.942,0.238,0.151,0.08,0.137,0.449,0.083,0.08,0.083,0.34,0.248,0.381,0.83,0.17,0.17,0.17,0.227,0.005,0.005,0.796,0.0,0.166,1.008,0.0,0.353,0.418,1.174,1.324,0.467,0.893,6.162,0.194,0.137,0.328,0.178,0.489,114.445,214.785,2.255,2.929,2.929,,,0.45,6.71,2.989,0.5,0.602,1.808,0.192,0.023,0.0,-0.112,3.292,5.746,,ADBE,00724F10,BBB+
5,12540,75510,2012/11/30,2013/8/31,2013-12-31,42.614,0.312,22.531,64.386,65.801,68.044,68.044,7.131,22.677,0.0,0.107,0.233,0.156,0.929,0.134,0.097,0.064,0.079,0.256,0.067,0.061,0.067,0.175,0.131,0.381,0.819,0.181,0.183,0.181,0.184,0.045,0.044,1.06,0.0,0.122,1.568,0.012,0.382,0.448,0.756,1.022,0.453,0.821,5.054,0.212,0.15,0.33,0.189,0.493,7.617,9.645,2.774,3.343,3.343,,,0.41,7.954,4.79,0.501,0.612,1.387,0.196,0.023,0.0,-0.086,4.148,4.301,,ADBE,00724F10,A-
6,1632,60871,2009/10/31,2009/10/31,2010-01-31,17.583,0.343,16.432,27.794,27.794,31.718,31.718,3.905,18.208,0.942,0.123,0.237,0.168,0.625,0.148,0.147,0.099,0.127,0.168,0.1,0.103,0.1,0.145,0.12,0.37,0.869,0.131,0.131,0.131,0.192,0.022,0.022,2.075,0.102,0.121,0.794,0.0,0.442,0.434,1.237,1.118,0.494,0.87,1.837,0.148,0.112,0.257,0.161,0.346,61.432,82.675,4.697,5.787,6.442,135.445,2.664,0.62,6.538,5.845,0.693,0.797,0.958,0.222,0.003,0.0,-0.057,3.067,,2.97%,ADI,3265410,BBB+
7,1632,60871,2009/10/31,2010/7/31,2010-09-30,20.402,0.346,9.867,15.458,15.769,16.092,16.092,3.649,10.635,0.41,0.231,0.344,0.296,0.674,0.289,0.247,0.22,0.25,0.168,0.222,0.196,0.222,0.279,0.24,0.457,0.879,0.121,0.121,0.121,0.279,0.027,0.027,2.27,0.087,0.112,0.436,0.0,0.508,0.393,1.772,1.767,0.494,0.897,2.108,0.136,0.102,0.259,0.151,0.349,57.657,72.677,4.465,5.341,5.848,106.983,3.309,0.677,7.863,7.242,0.804,0.914,1.062,0.185,0.003,0.0,-0.078,3.054,0.8,2.80%,ADI,3265410,A-
8,1632,60871,2015/10/31,2016/4/30,2016-07-31,28.032,0.289,15.494,21.935,22.24,31.137,31.137,5.789,20.99,0.781,0.191,0.363,0.3,0.689,0.219,0.171,0.124,0.167,0.14,0.129,0.115,0.129,0.261,0.209,0.318,0.818,0.182,0.213,0.182,0.254,0.04,0.035,1.461,0.094,0.097,1.058,0.144,0.369,0.476,1.427,1.084,0.456,0.861,3.692,0.215,0.177,0.319,0.226,0.468,15.393,22.631,3.963,4.597,5.072,132.964,2.57,0.462,8.014,6.715,0.554,0.678,0.965,0.191,0.001,0.0,-0.039,3.926,,2.63%,ADI,3265410,BBB
10,1891,44644,2009/6/30,2009/9/30,2010-01-31,19.524,0.303,8.922,16.996,16.996,15.451,15.392,2.353,14.624,0.486,0.152,0.243,0.208,0.489,0.218,0.076,0.257,0.327,0.303,0.266,0.258,0.266,0.794,0.076,0.152,0.991,0.009,0.044,0.009,0.188,0.386,0.076,0.073,0.0,0.046,0.107,0.804,0.943,0.002,0.099,0.065,0.078,0.895,31.617,0.008,0.008,0.815,0.06,4.398,77.879,105.202,0.077,1.084,1.084,35.837,,0.312,8.219,42.585,1.668,1.683,4.816,0.056,0.0,0.0,-0.003,3.43,0.722,3.33%,ADP,5301510,AAA
11,1891,44644,2013/6/30,2013/12/31,2014-04-30,28.812,0.168,18.487,28.246,28.453,29.419,26.699,3.49,22.549,0.655,0.119,0.178,0.178,0.41,0.181,0.057,0.193,0.262,0.346,0.203,0.194,0.203,0.967,0.068,0.126,0.998,0.002,0.245,0.002,0.162,0.486,0.004,0.056,0.0,0.058,0.808,0.991,0.951,0.0,0.07,0.061,0.06,0.883,39.397,0.002,0.044,0.82,0.129,4.564,187.188,277.652,0.058,1.042,1.042,47.685,,0.307,6.488,42.598,1.705,1.709,9.414,0.057,0.0,0.0,-0.011,5.743,8.202,2.46%,ADP,5301510,AA
13,10860,24985,2008/12/31,2009/9/30,2010-01-31,9.706,1.731,6.747,8.872,8.872,9.291,9.291,0.827,2.976,0.658,0.081,0.285,0.187,0.285,0.123,0.092,0.064,0.09,0.337,0.084,0.067,0.083,0.084,0.071,0.09,0.501,0.485,0.564,0.49,0.188,0.069,0.059,0.019,0.288,0.285,3.922,0.14,0.166,0.448,0.8,0.781,0.099,0.049,0.927,0.733,0.353,0.677,0.545,2.145,2.229,2.828,0.116,0.732,1.029,51.794,6.785,0.317,9.601,8.948,0.505,1.003,34.38,0.0,0.0,0.0,-0.063,0.584,3.382,6.03%,AEE,2360810,BBB-
14,10860,24985,2012/12/31,2012/12/31,2013-03-31,46.636,1.272,6.931,14.592,14.592,-8.733,-8.733,1.244,5.028,,-0.143,0.308,0.194,0.308,-0.242,0.092,-0.094,0.093,,-0.134,-0.029,-0.131,0.075,0.068,0.096,0.494,0.495,0.521,0.495,-0.019,0.067,0.064,0.014,0.297,0.345,3.32,0.051,0.113,0.44,1.239,0.995,0.112,0.212,0.936,0.699,0.32,0.69,0.53,2.23,-1.174,2.964,0.123,0.981,1.395,48.795,6.674,0.3,8.109,7.158,0.51,1.01,10.176,0.0,0.0,0.0,-0.117,0.896,,4.57%,AEE,2360810,BBB
15,10860,24985,2012/12/31,2013/9/30,2013-12-31,18.866,1.19,8.051,18.449,18.544,18.544,-9.694,1.52,5.34,0.822,0.082,0.316,0.194,0.316,0.134,0.082,0.047,0.084,,0.069,0.053,0.068,0.067,0.059,0.083,0.524,0.464,0.515,0.464,0.015,0.067,0.061,0.011,0.183,0.172,3.488,0.098,0.174,0.371,0.677,0.609,0.112,0.18,0.984,0.589,0.288,0.7,0.507,2.337,2.225,2.904,0.064,0.935,1.144,43.929,6.997,0.261,10.879,8.347,0.466,0.872,14.834,0.0,0.0,0.0,-0.052,0.872,0.272,4.42%,AEE,2360810,BBB+
