證券代碼,公司中文全稱,年,月,報酬率％_月
0050 元大台灣50,,2010,1,-6.1113
0051 元大中型100,,2010,1,-7.6897
0052 富邦科技,,2010,1,-6.8493
0053 元大電子,,2010,1,-7.5828
0055 元大MSCI金融,,2010,1,-9.969
0056 元大高股息,,2010,1,-4.4873
0057 富邦摩台,,2010,1,-6.6295
0061 元大寶滬深,,2010,1,-8.0711
0050 元大台灣50,,2010,2,-2.7358
0051 元大中型100,,2010,2,-3.1007
0052 富邦科技,,2010,2,-2.5
0053 元大電子,,2010,2,-4.142
0055 元大MSCI金融,,2010,2,-3.4334
0056 元大高股息,,2010,2,-2.0134
0057 富邦摩台,,2010,2,-2.7066
0061 元大寶滬深,,2010,2,-0.1105
0050 元大台灣50,,2010,3,5.2377
0051 元大中型100,,2010,3,7.1703
0052 富邦科技,,2010,3,5.2187
0053 元大電子,,2010,3,7.6132
0055 元大MSCI金融,,2010,3,4.7111
0056 元大高股息,,2010,3,4.1098
0057 富邦摩台,,2010,3,5.7806
0061 元大寶滬深,,2010,3,2.7087
0050 元大台灣50,,2010,4,1.014
0051 元大中型100,,2010,4,1.6545
0052 富邦科技,,2010,4,0.7452
0053 元大電子,,2010,4,0.9562
0055 元大MSCI金融,,2010,4,-2.3768
0056 元大高股息,,2010,4,2.3684
0057 富邦摩台,,2010,4,2.2541
0061 元大寶滬深,,2010,4,-4.0365
0050 元大台灣50,,2010,5,-8.5767
0051 元大中型100,,2010,5,-8.5633
0052 富邦科技,,2010,5,-8.4665
0053 元大電子,,2010,5,-8.409
0055 元大MSCI金融,,2010,5,-7.7393
0056 元大高股息,,2010,5,-6.2983
0057 富邦摩台,,2010,5,-8.1498
0061 元大寶滬深,,2010,5,-2.4119
0050 元大台灣50,,2010,6,-1.0977
0051 元大中型100,,2010,6,1.1995
0052 富邦科技,,2010,6,-2.9126
0053 元大電子,,2010,6,-2.8948
0055 元大MSCI金融,,2010,6,3.676
0056 元大高股息,,2010,6,0.137
0057 富邦摩台,,2010,6,-3.2364
0061 元大寶滬深,,2010,6,-5.7473
0050 元大台灣50,,2010,7,8.7788
0051 元大中型100,,2010,7,7.8777
0052 富邦科技,,2010,7,8.1332
0053 元大電子,,2010,7,8.6031
0055 元大MSCI金融,,2010,7,8.8183
0056 元大高股息,,2010,7,9.1322
0057 富邦摩台,,2010,7,9.0567
0061 元大寶滬深,,2010,7,8.6585
0050 元大台灣50,,2010,8,-1.113
0051 元大中型100,,2010,8,-0.5317
0052 富邦科技,,2010,8,-3.6376
0053 元大電子,,2010,8,-3.5685
0055 元大MSCI金融,,2010,8,1.1696
0056 元大高股息,,2010,8,0
0057 富邦摩台,,2010,8,-1.3442
0061 元大寶滬深,,2010,8,-2.8059
0050 元大台灣50,,2010,9,8.2552
0051 元大中型100,,2010,9,8.8381
0052 富邦科技,,2010,9,8.6053
0053 元大電子,,2010,9,8.2555
0055 元大MSCI金融,,2010,9,6.3584
0056 元大高股息,,2010,9,5.8577
0057 富邦摩台,,2010,9,8.7322
0061 元大寶滬深,,2010,9,2.5403
0050 元大台灣50,,2010,10,0.8598
0051 元大中型100,,2010,10,2.1284
0052 富邦科技,,2010,10,0.7364
0053 元大電子,,2010,10,0.1129
0055 元大MSCI金融,,2010,10,-1.3199
0056 元大高股息,,2010,10,3.9524
0057 富邦摩台,,2010,10,1.0925
0061 元大寶滬深,,2010,10,9.1779
0050 元大台灣50,,2010,11,1.9643
0051 元大中型100,,2010,11,1.0104
0052 富邦科技,,2010,11,3.2165
0053 元大電子,,2010,11,1.7321
0055 元大MSCI金融,,2010,11,-0.85
0056 元大高股息,,2010,11,1.711
0057 富邦摩台,,2010,11,2.0017
0061 元大寶滬深,,2010,11,-0.2579
0050 元大台灣50,,2010,12,7.5308
0051 元大中型100,,2010,12,5.1014
0052 富邦科技,,2010,12,4.8442
0053 元大電子,,2010,12,4.5211
