,日期,Close,價平買權次週每日結算價,價平買權近週每日結算價,價平賣權次週每日結算價,價平賣權近週每日結算價,Implied volatility of Call,Implied volatility of Put,Signal of Long Call,Signal of Long Put,Signal of Long Call_E,Signal of Long Put_E,策略累積資金(金額),進場口數,策略近週報酬(點數)
0,2020-01-02,12100.48,68.0,102.0,56.0,0.1,0.10144805743418062,0.08354545906344286,0,0,0,0,1000000.0,4.0,0.0
1,2020-01-03,12110.43,,52.0,,56.0,,,0,0,0,0,1000000.0,4.0,-0.0
2,2020-01-06,11953.36,,5.4,,147.0,,,0,0,0,0,1000000.0,4.0,-0.0
3,2020-01-07,11880.32,,0.6,,225.0,,,0,0,0,0,1000000.0,4.0,-0.0
4,2020-01-08,11817.1,136.0,0.1,99.0,260.0,0.20776166572528856,0.15123827137355564,0,1,0,1,1000000.0,4.0,-0.0
5,2020-01-09,11970.63,,247.0,,29.0,,,0,0,0,1,1000000.0,4.0,0.0
6,2020-01-10,12024.65,,284.0,,20.0,,,0,0,0,1,1000000.0,4.0,0.0
7,2020-01-13,12113.42,,370.0,,1.5,,,0,0,0,1,1000000.0,4.0,0.0
8,2020-01-14,12179.81,,431.0,,0.9,,,0,0,0,1,1000000.0,4.0,0.0
9,2020-01-15,12091.88,101.0,313.0,86.0,0.1,0.1507873698909766,0.12839320604578205,0,0,0,0,1000000.0,4.0,-0.0
10,2020-01-16,12066.93,,99.0,,84.0,,,0,0,0,0,1000000.0,4.0,-0.0
11,2020-01-17,12090.29,,100.0,,66.0,,,0,0,0,0,1000000.0,4.0,0.0
12,2020-01-20,12118.71,,120.0,,47.5,,,0,0,0,0,1000000.0,4.0,0.0
13,2020-01-30,11421.74,186.0,0.2,95.0,615.0,0.29398020964964566,0.1501511823479373,1,1,1,1,1000000.0,4.0,-0.0
14,2020-01-31,11495.1,,228.0,,42.5,,,0,0,1,1,1007800.0,4.0,39.0
15,2020-02-03,11354.92,,115.0,,76.0,,,0,0,1,1,985200.0,4.0,-113.0
16,2020-02-04,11555.92,,258.0,,7.9,,,0,0,1,1,1013800.0,4.0,143.0
17,2020-02-05,11573.62,149.0,260.0,96.0,0.1,0.23240981787633266,0.1497405537995163,1,1,1,1,1014200.0,4.0,2.0
18,2020-02-06,11749.68,,278.0,,28.5,,,0,0,1,1,1039400.0,4.0,126.0
19,2020-02-07,11612.81,,161.0,,56.0,,,0,0,1,1,1016000.0,4.0,-117.0
20,2020-02-10,11574.07,,126.0,,44.0,,,0,0,1,1,1009000.0,4.0,-35.0
21,2020-02-11,11664.04,,187.0,,8.4,,,0,0,1,1,1021200.0,4.0,61.0
22,2020-02-12,11774.19,110.0,293.0,90.0,0.2,0.16865493994806952,0.13799040541205684,0,0,0,0,1042400.0,4.0,106.0
23,2020-02-13,11791.78,,105.0,,79.0,,,0,0,0,0,1042400.0,4.0,-0.0
24,2020-02-14,11815.7,,108.0,,47.0,,,0,0,0,0,1042400.0,4.0,0.0
25,2020-02-17,11763.51,,61.0,,40.5,,,0,0,0,0,1042400.0,4.0,-0.0
26,2020-02-18,11648.98,,8.2,,117.0,,,0,0,0,0,1042400.0,4.0,-0.0
27,2020-02-19,11758.84,105.0,10.0,80.0,0.1,0.16119896124235186,0.12281825618464903,0,0,0,0,1042400.0,4.0,0.0
28,2020-02-20,11725.09,,69.0,,92.0,,,0,0,0,0,1042400.0,4.0,0.0
29,2020-02-21,11686.35,,41.5,,116.0,,,0,0,0,0,1042400.0,4.0,-0.0
30,2020-02-24,11534.87,,5.1,,232.0,,,0,0,0,0,1042400.0,4.0,-0.0
31,2020-02-25,11540.23,,1.7,,202.0,,,0,0,0,0,1042400.0,4.0,-0.0
32,2020-02-26,11433.62,144.0,0.1,111.0,317.0,0.22736109844456415,0.17525751338435153,1,1,1,1,1042400.0,4.0,-0.0
33,2020-02-27,11292.17,,76.0,,187.0,,,0,0,1,1,1028200.0,4.0,-71.0
34,2020-03-02,11170.46,,17.5,,222.0,,,0,0,1,1,1016500.0,4.0,-58.5
35,2020-03-03,11327.72,,24.5,,89.0,,,0,0,1,1,1017900.0,4.0,7.0
36,2020-03-04,11392.35,138.0,0.1,110.0,21.0,0.21867704078887718,0.17430778613606152,0,1,0,1,1013020.0,4.0,-24.4
37,2020-03-05,11514.82,,202.0,,44.5,,,0,0,0,1,1013020.0,4.0,0.0
38,2020-03-06,11321.81,,84.0,,146.0,,,0,0,0,1,1013020.0,4.0,-0.0
39,2020-03-09,10977.64,,7.5,,385.0,,,0,0,0,1,1013020.0,4.0,-0.0
40,2020-03-10,11003.54,,1.3,,340.0,,,0,0,0,1,1013020.0,4.0,-0.0
41,2020-03-11,10893.75,200.0,0.2,178.0,443.0,0.3314286227319102,0.2949714742314001,1,1,1,1,1013020.0,4.0,-0.0
42,2020-03-12,10422.32,,32.5,,468.0,,,0,0,1,1,978920.0,4.0,-170.5
43,2020-03-13,10128.87,,19.5,,785.0,,,0,0,1,1,976320.0,4.0,-13.0
44,2020-03-16,9717.77,,1.5,,1120.0,,,0,0,1,1,972720.0,4.0,-18.0
