time,open,high,low,close,BATS:SOXS: Open,BATS:SOXS: High,BATS:SOXS: Low,BATS:SOXS: Close,BATS:SQQQ: Open,BATS:SQQQ: High,BATS:SQQQ: Low,BATS:SQQQ: Close,Volume,Volume MA
2012-05-08T15:00:00+08:00,500,591,500,554,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,105113,NaN
2012-05-09T15:00:00+08:00,533,539,431,441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,116762,NaN
2012-05-11T15:00:00+08:00,380,481,365,459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,113623,NaN
2012-05-14T15:00:00+08:00,431,461,431,431,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79053,NaN
2012-05-15T15:00:00+08:00,451,518,436,499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107382,NaN
2012-05-16T15:00:00+08:00,349,415,313,320,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,137508,NaN
2012-05-18T15:00:00+08:00,435,445,387,421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84457,NaN
2012-05-21T15:00:00+08:00,336,355,275,320,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,104162,NaN
2012-05-22T15:00:00+08:00,341,363,267,314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,110432,NaN
2012-05-23T15:00:00+08:00,340,344,233,243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,112160,NaN
2012-05-25T15:00:00+08:00,309,521,290,479,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,133522,NaN
2012-05-28T15:00:00+08:00,455,458,381,419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,106158,NaN
2012-05-29T15:00:00+08:00,327,440,270,402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,133197,NaN
2012-05-30T15:00:00+08:00,385,395,260,281,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,148958,NaN
2012-06-01T15:00:00+08:00,134,190,110,155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,119982,NaN
2012-06-04T15:00:00+08:00,174,240,143,200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,119994,NaN
2012-06-05T15:00:00+08:00,320,331,205,232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,109350,NaN
2012-06-06T15:00:00+08:00,192,225,131,140,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,113544,NaN
2012-06-08T15:00:00+08:00,161,223,147,204,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91231,NaN
2012-06-12T15:00:00+08:00,234,255,187,233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92489,111953.85
2012-06-13T15:00:00+08:00,227,292,218,248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92161,111306.25
2012-06-14T15:00:00+08:00,235,345,227,339,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,105833,110759.8
2012-06-15T15:00:00+08:00,485,508,429,450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92004,109678.85
2012-06-18T15:00:00+08:00,451,455,419,450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80407,109746.55
2012-06-19T15:00:00+08:00,480,509,466,496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45126,106633.75
2012-06-20T15:00:00+08:00,487,490,420,444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87665,104141.6
2012-06-21T15:00:00+08:00,329,374,322,361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86796,104258.55
2012-06-22T15:00:00+08:00,279,305,265,275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79925,103046.7
2012-06-25T15:00:00+08:00,271,287,250,266,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61535,100601.85
2012-06-26T15:00:00+08:00,245,332,225,313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89541,99470.9
2012-06-27T15:00:00+08:00,348,364,289,328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93508,97470.2
2012-06-28T15:00:00+08:00,309,455,308,441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,125080,98416.3
2012-06-29T15:00:00+08:00,460,479,434,463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61181,94815.5
2012-07-02T15:00:00+08:00,504,607,488,555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100095,92372.35
2012-07-03T15:00:00+08:00,595,654,578,617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83106,90528.55
2012-07-04T15:00:00+08:00,630,648,604,624,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61592,87608.45
2012-07-05T15:00:00+08:00,615,646,564,599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88904,86586.15
2012-07-06T15:00:00+08:00,531,599,529,563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78681,84843
2012-07-09T15:00:00+08:00,578,597,489,508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,111304,85846.65
2012-07-10T15:00:00+08:00,465,531,460,513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84861,85465.25
2012-07-11T15:00:00+08:00,513,515,394,406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,120546,86884.5
2012-07-12T15:00:00+08:00,397,435,372,398,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96058,86395.75
2012-07-13T15:00:00+08:00,416,437,347,384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98746,86732.85
2012-07-16T15:00:00+08:00,375,463,357,434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,123931,88909.05
2012-07-17T15:00:00+08:00,425,435,338,340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56820,89493.75
2012-07-18T15:00:00+08:00,427,485,398,475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,105346,90377.8
2012-07-19T15:00:00+08:00,475,492,449,466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72895,89682.75
2012-07-20T15:00:00+08:00,368,385,298,326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89331,90153.05
2012-07-23T15:00:00+08:00,315,342,303,327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70435,90598.05
2012-07-24T15:00:00+08:00,235,365,228,299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,109485,91595.25
2012-07-25T15:00:00+08:00,309,358,285,328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89439,91391.8
2012-07-26T15:00:00+08:00,422,484,399,481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101947,90235.15
2012-07-27T15:00:00+08:00,535,555,508,531,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73940,90873.1
2012-07-30T15:00:00+08:00,555,632,514,610,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,111301,91433.4
2012-07-31T15:00:00+08:00,592,665,588,647,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91583,91857.25
2012-08-02T15:00:00+08:00,593,617,569,593,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77401,92647.7
2012-08-03T15:00:00+08:00,731,767,689,690,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87031,92554.05
2012-08-06T15:00:00+08:00,686,716,676,689,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62956,91767.8
2012-08-07T15:00:00+08:00,759,789,730,753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,103055,91355.35
2012-08-08T15:00:00+08:00,824,905,799,891,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,125910,93407.8
2012-08-09T15:00:00+08:00,906,918,878,897,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68582,90809.6
2012-08-10T15:00:00+08:00,897,928,883,906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67806,89397
2012-08-13T15:00:00+08:00,937,998,904,948,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,113777,90148.55
2012-08-14T15:00:00+08:00,943,947,892,894,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41895,86046.75
2012-08-15T15:00:00+08:00,924,984,905,957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91628,87787.15
2012-08-16T15:00:00+08:00,967,975,931,938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66804,85860.05
2012-08-17T15:00:00+08:00,928,939,862,905,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85890,86509.8
2012-08-20T15:00:00+08:00,929,1017,922,979,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,104595,87273
2012-08-21T15:00:00+08:00,958,972,917,954,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73832,87442.85
2012-08-22T15:00:00+08:00,940,998,932,977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92576,86597.4
2012-08-23T15:00:00+08:00,914,954,906,951,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63615,85306.2
2012-08-24T15:00:00+08:00,999,1015,916,918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85683,84493
2012-08-27T15:00:00+08:00,899,907,839,863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90608,85326.4
2012-08-28T15:00:00+08:00,868,877,845,867,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48276,82175.15
2012-08-29T15:00:00+08:00,824,859,805,831,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84738,81832.9
2012-08-30T15:00:00+08:00,839,884,827,846,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75810,81753.35
2012-08-31T15:00:00+08:00,834,929,816,906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95691,82186.35
2012-09-03T15:00:00+08:00,907,934,894,912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49798,81528.45
